id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,8,8_52,M.USER.APP.8,76,77,199,199,None,70.43466666666667,46,116.43466666666667,46.0,46.0
2,COMP_M,0,0_0,M.USER.APP.0,75,78,169,169,None,92.29268292682927,76,168.2926829268293,76.0,76.0
1,COMP_M,8,8_53,8_(52-53),77,79,199,199,8_52,73.78933333333333,116.43466666666667,190.224,116.43466666666667,116.43466666666667
3,COMP_M,4,4_27,M.USER.APP.4,75,82,169,169,None,117.80266075388026,151,268.8026607538803,151.0,151.0
2,COMP_M,0,0_1,0_(0-1),78,83,169,169,0_0,106.8048780487805,168.2926829268293,275.0975609756098,168.2926829268293,168.2926829268293
2,COMP_M,0,0_2,0_(0-2),78,84,169,169,0_0,62.73392461197339,168.2926829268293,231.0266075388027,168.2926829268293,168.2926829268293
2,COMP_M,0,0_4,0_(0-4),78,85,169,169,0_0,96.27272727272727,168.2926829268293,264.56541019955654,168.2926829268293,168.2926829268293
1,COMP_M,8,8_54,8_(53-54),79,86,199,199,8_53,39.64533333333333,190.224,229.86933333333332,190.224,190.224
4,COMP_M,4,4_27,M.USER.APP.4,75,82,169,169,None,117.80266075388026,268.8026607538803,386.60532150776055,245.0,245.0
3,COMP_M,4,4_28,4_(27-28),82,88,169,169,4_27,112.60310421286032,268.8026607538803,381.4057649667406,268.8026607538803,268.8026607538803
3,COMP_M,4,4_29,4_(27-29),82,89,169,169,4_27,117.01552106430155,268.8026607538803,385.8181818181818,268.8026607538803,268.8026607538803
2,COMP_M,0,0_8,0_(1-8),83,90,169,169,0_1,80.83370288248337,275.0975609756098,355.93126385809313,275.0975609756098,275.0975609756098
2,COMP_M,0,0_3,0_(1-3),83,91,169,169,0_1,44.711751662971174,275.0975609756098,319.80931263858093,275.0975609756098,275.0975609756098
2,COMP_M,0,0_5,0_(1-5),83,92,169,169,0_1,56.44124168514412,275.0975609756098,331.5388026607539,275.0975609756098,275.0975609756098
2,COMP_M,0,0_6,0_(1-6),83,93,169,169,0_1,87.77827050997783,275.0975609756098,362.8758314855876,275.0975609756098,275.0975609756098
2,COMP_M,0,0_7,0_(1-7),83,94,169,169,0_1,91.9911308203991,275.0975609756098,367.0886917960089,275.0975609756098,275.0975609756098
6,COMP_M,0,0_0,M.USER.APP.0,75,78,169,169,None,92.29268292682927,280,372.2926829268293,280.0,280.0
8,COMP_M,8,8_52,M.USER.APP.8,76,77,199,199,None,70.43466666666667,335,405.43466666666666,335.0,335.0
6,COMP_M,0,0_1,0_(0-1),78,83,169,169,0_0,106.8048780487805,372.2926829268293,479.0975609756098,372.2926829268293,372.2926829268293
6,COMP_M,0,0_2,0_(0-2),78,84,169,169,0_0,62.73392461197339,372.2926829268293,435.0266075388027,372.2926829268293,372.2926829268293
6,COMP_M,0,0_4,0_(0-4),78,85,169,169,0_0,96.27272727272727,372.2926829268293,468.56541019955654,372.2926829268293,372.2926829268293
3,COMP_M,4,4_30,4_(28-30),88,97,169,169,4_28,106.99556541019956,381.4057649667406,488.40133037694017,381.4057649667406,381.4057649667406
3,COMP_M,4,4_35,4_(29-35),89,98,169,169,4_29,47.4589800443459,385.8181818181818,433.2771618625277,385.8181818181818,385.8181818181818
3,COMP_M,4,4_31,4_(29-31),89,99,169,169,4_29,70.27937915742794,385.8181818181818,456.0975609756098,385.8181818181818,385.8181818181818
7,COMP_M,4,4_27,M.USER.APP.4,80,82,169,169,None,117.80266075388026,386.60532150776055,504.4079822616408,282.0,282.0
4,COMP_M,4,4_28,4_(27-28),82,88,169,169,4_27,112.60310421286032,386.60532150776055,499.2084257206209,386.60532150776055,386.60532150776055
4,COMP_M,4,4_29,4_(27-29),82,89,169,169,4_27,117.01552106430155,386.60532150776055,503.6208425720621,386.60532150776055,386.60532150776055
8,COMP_M,8,8_53,8_(52-53),77,79,199,199,8_52,73.78933333333333,405.43466666666666,479.224,405.43466666666666,405.43466666666666
10,COMP_M,8,8_52,M.USER.APP.8,76,77,199,199,None,70.43466666666667,411,481.43466666666666,411.0,411.0
11,COMP_M,9,9_55,M.USER.APP.9,96,100,197,197,None,133.31208053691276,436,569.3120805369127,436.0,436.0
3,COMP_M,4,4_32,4_(31-32),99,101,169,169,4_31,89.81818181818181,456.0975609756098,545.9157427937917,456.0975609756098,456.0975609756098
6,COMP_M,0,0_8,0_(1-8),83,90,169,169,0_1,80.83370288248337,479.0975609756098,559.9312638580932,479.0975609756098,479.0975609756098
