node,hopcount,latency,power,deploymentPenalty,utilization
0,4,439,626,15400,0
1,5,428,735,8700,0
2,4,412,773,12080,0
3,4,451,686,15360,0
4,5,636,743,19680,0
5,5,442,770,14880,0
6,5,478,630,2900,0
7,5,495,643,19380,0
8,6,682,665,16300,0
9,6,637,748,8580,0
10,6,545,761,10380,0
11,6,504,557,17540,0
12,6,524,741,19400,0
13,6,606,652,7080,0
14,5,559,712,11480,0
15,5,485,790,11260,0
16,6,752,679,9460,0
17,6,630,557,6520,0
18,6,675,643,13480,0
19,6,667,777,17660,0
20,5,547,662,18540,0
21,6,652,744,6240,0
22,6,603,785,12200,0
23,6,545,799,13540,0
24,6,629,684,2560,0
25,6,620,573,17060,0
26,6,554,739,5180,0
27,6,519,544,2900,0
28,6,572,773,11900,0
29,5,477,691,1500,0
30,6,578,611,8440,0
31,6,505,789,1400,0
32,5,541,741,5000,0
33,6,627,530,9080,0
34,6,542,605,13300,0
35,5,517,530,1740,0
36,6,629,720,7800,0
37,6,567,702,4220,0
38,6,598,754,13860,0
39,5,558,633,12340,0
40,6,624,671,8780,0
41,6,580,752,7780,0
42,6,643,723,1220,0
43,6,688,572,6340,0
44,5,559,608,6460,0
45,6,644,715,12800,0
46,6,822,500,13360,0
47,5,548,691,5540,0
48,5,581,624,11800,0
49,6,724,699,8940,0
50,5,369,547,5920,0
51,6,520,727,11660,0
52,6,509,640,6920,0
53,6,506,556,16440,0
54,6,663,718,2580,0
55,6,580,595,13900,0
56,6,573,747,1040,0
57,6,724,695,3260,11
58,5,576,530,19600,7
59,6,595,582,2540,0
60,6,776,540,17380,0
61,6,604,762,7600,0
62,6,690,704,1760,0
63,5,592,773,18840,0
64,6,753,697,14320,0
65,5,496,612,13160,0
66,6,620,502,12160,0
67,5,487,716,16000,0
68,6,735,549,1780,0
69,6,679,665,8500,0
70,4,425,514,5540,0
71,6,555,621,2340,0
72,5,454,773,2880,0
73,5,548,603,19560,0
74,6,627,590,9100,0
75,5,463,688,18480,0
76,5,529,519,13140,0
77,6,663,502,2160,0
78,5,570,647,9520,0
79,4,473,610,9040,0
80,6,601,629,15780,0
81,6,697,711,17420,0
82,4,520,535,13860,0
83,3,350,785,1800,0
84,6,524,613,4760,4
85,6,516,795,19800,0
86,5,643,764,13920,0
87,5,480,650,7120,0
88,6,541,683,4840,0
89,5,500,770,19300,0
90,5,518,577,3820,0
91,6,555,716,12080,0
92,5,456,761,2600,0
93,6,709,504,1760,0
94,5,537,544,4040,0
95,6,494,771,10600,1
96,5,477,742,13900,0
97,6,514,772,15200,0
98,6,592,748,12380,0
99,6,502,676,8380,0
100,5,479,500,13480,0
101,6,621,519,5820,0
102,6,540,622,6740,0
103,5,497,538,13180,0
104,4,387,510,2040,0
105,6,669,715,17420,2
106,4,429,623,19760,0
107,5,486,641,1880,0
108,4,333,689,12740,5
109,3,311,615,7580,1
110,5,553,683,17760,0
111,5,499,537,7420,0
112,5,537,538,15980,0
113,6,640,762,18420,0
114,7,864,736,10860,0
115,4,566,727,9440,0
116,6,702,513,2420,0
117,4,482,784,18120,0
118,6,648,528,5100,0
119,7,937,710,15820,0
120,4,464,628,3140,0
121,7,597,625,18780,0
122,5,498,509,14960,0
123,6,666,776,1560,0
124,7,777,521,2480,0
125,5,540,502,7600,0
126,6,584,768,2340,0
127,4,497,782,13800,0
128,5,615,507,8020,0
129,6,583,533,4540,0
130,6,529,790,3460,0
131,6,732,782,6560,0
132,7,775,798,4500,0
133,5,486,770,3960,0
134,5,576,573,7000,0
135,7,690,513,8980,0
136,5,685,522,2480,0
137,6,619,542,15080,0
138,7,688,633,2600,0
139,6,651,622,2100,0
140,5,534,561,7080,0
141,6,784,739,19060,0
142,7,669,739,14080,0
143,4,578,629,15600,0
144,6,746,542,18820,0
145,7,662,561,10180,0
146,6,750,502,12760,0
147,6,674,664,12960,0
148,6,639,704,9960,0
149,5,731,584,15480,0
150,7,732,512,17800,0
151,6,567,619,12060,0
152,6,664,727,6380,0
153,7,777,5000,0,64
154,7,783,574,11080,0
155,6,690,587,8880,0
156,6,543,659,12920,0
157,7,675,734,8660,0
158,7,760,689,8060,0
159,7,855,677,8240,0
160,6,625,642,7720,0
161,6,562,595,14200,0
162,6,664,724,6700,0
163,7,634,641,1480,0
164,7,744,520,11020,0
165,7,844,701,15100,0
166,7,699,800,12800,0
167,7,651,568,14820,0
168,5,510,638,3000,0
169,6,853,770,9020,2
170,7,576,657,14480,0
171,6,702,737,9440,0
172,6,739,566,8400,0
173,6,598,514,12140,0
174,5,456,556,2600,0
175,5,573,683,4280,7
176,6,605,585,10740,0
177,7,636,690,9700,0
178,6,822,779,19140,1
179,6,720,711,10320,0
180,6,699,549,1820,0
181,5,747,736,3660,0
182,5,582,777,8540,0
183,6,794,765,2940,0
184,6,587,597,9660,0
185,5,675,563,8000,0
186,6,743,702,4820,0
187,6,649,576,17340,1
188,4,455,781,1840,0
189,5,567,514,14780,0
190,2,80,535,9740,0
191,5,519,624,15540,0
192,7,1197,628,2460,0
193,8,920,554,1740,2
194,1,0,781,17560,7
195,6,729,585,11580,1
196,6,867,632,6640,2
197,7,822,569,5960,1
198,7,1077,720,2880,1
199,8,1062,698,15000,4
