"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","175",1
"2","57",2
"3","169",3
"4","32",4
"5","43",5
"7","105",6
"8","63",6
"9","69",6
"10","189",7
"11","108",8
"12","72",9
"13","78",9
"14","124",10
"15","28",10
"16","60",10
"17","94",10
"18","25",11
"19","7",12
"20","93",12
"21","121",13
"6","95",13
"22","55",14
"23","73",15
"24","30",16
"25","36",17
"26","131",18
"27","91",18
"28","164",19
"30","84",19
"32","181",20
"35","140",21
"36","127",22
"33","193",22
"29","38",22
"38","125",22
"37","58",22
"31","51",22
"39","134",22
"40","176",22
"34","85",22
"43","27",23
"42","71",23
"44","110",24
"41","89",24
"46","130",24
"51","182",24
"49","33",24
"45","141",24
"47","135",25
"54","184",25
"50","102",25
"52","187",26
"48","44",26
"53","48",27
"55","103",28
"58","133",28
"56","14",28
"57","112",29
"59","37",30
"60","45",31
"61","18",32
"62","22",32
"63","53",33
"64","100",34
"76","109",34
"65","31",34
"69","34",34
"70","75",34
"66","2",34
"67","70",34
"68","10",35
"73","126",35
"71","80",35
"77","153",35
"80","16",35
"74","50",35
"75","79",35
"72","88",35
"79","163",36
"78","161",37
"82","191",38
"83","129",39
"81","116",39
"84","42",40
"85","159",41
"86","186",42
"87","11",43
"88","183",44
"90","62",44
"98","104",44
"89","158",44
"91","177",45
"92","160",46
"94","41",46
"93","96",46
"95","136",47
"111","194",47
"96","173",47
"108","117",47
"109","137",47
"110","139",47
"97","178",47
"100","146",48
"101","17",48
"99","52",48
"104","67",48
"115","123",48
"102","92",48
"105","185",48
"103","3",48
"107","172",48
"119","6",48
"114","180",48
"106","29",48
"112","23",49
"126","119",49
"113","155",49
"127","198",49
"117","99",49
"116","15",49
"122","77",49
"118","165",49
"120","174",50
"125","101",50
"124","66",50
"123","35",51
"128","24",52
"136","68",52
"131","115",52
"135","197",52
"121","49",52
"132","19",52
"129","128",52
"137","156",52
"130","87",52
"133","40",53
"134","56",53
"138","167",54
"139","46",54
"141","65",55
"143","190",55
"142","1",56
"140","148",56
"146","4",57
"148","149",57
"144","143",57
"147","98",57
"145","39",57
"149","47",57
"150","83",58
"151","97",59
"156","132",59
"153","171",59
"152","162",60
"159","170",60
"158","196",60
"155","138",60
"157","152",61
"154","168",61
"162","54",61
"161","157",62
"160","81",62
"165","147",62
"164","192",62
"170","8",62
"172","188",63
"169","26",63
"173","106",64
"163","150",64
"167","113",65
"179","199",65
"177","59",65
"166","9",65
"182","82",65
"180","20",66
"171","166",66
"168","120",66
"183","154",66
"176","195",66
"184","111",66
"185","118",66
"196","64",67
"191","145",68
"186","107",69
"189","13",69
"174","144",69
"175","12",70
"178","151",70
"197","74",70
"200","90",70
"199","86",71
"195","5",72
"181","61",72
"194","21",73
"187","114",74
"198","76",74
"188","122",75
"193","200",75
"190","142",76
"192","179",77
