"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","122",1
"2","192",2
"3","188",3
"4","112",4
"5","124",5
"6","106",6
"7","108",6
"8","146",7
"9","162",8
"10","174",8
"11","180",8
"13","110",9
"14","130",9
"15","138",9
"12","104",10
"16","164",11
"17","166",12
"18","102",13
"19","134",14
"20","148",15
"21","126",16
"22","190",17
"23","168",18
"24","152",19
"25","178",19
"26","176",20
"28","140",21
"30","142",22
"31","156",22
"27","144",22
"32","160",22
"29","158",22
"34","165",22
"33","136",22
"37","103",22
"35","132",22
"40","172",22
"38","150",22
"39","118",23
"36","128",23
"43","120",23
"41","114",23
"44","186",23
"42","198",23
"46","116",24
"47","182",25
"48","170",26
"45","125",26
"56","2",26
"58","72",26
"57","62",27
"59","184",28
"60","196",28
"49","101",28
"62","8",28
"50","143",28
"65","12",28
"68","4",28
"51","109",28
"52","111",28
"70","52",28
"72","94",28
"73","98",29
"64","100",30
"71","56",30
"69","42",31
"84","6",31
"78","30",32
"53","105",32
"55","139",33
"83","54",33
"85","74",33
"86","76",33
"74","10",34
"61","107",34
"77","28",34
"82","48",34
"87","80",34
"54","113",34
"88","82",34
"92","16",34
"95","24",34
"97","84",34
"99","96",34
"75","18",34
"80","40",34
"98","90",34
"89","92",34
"103","86",34
"63","171",34
"76","22",34
"79","38",34
"81","46",34
"100","20",34
"101","32",34
"66","127",34
"102","78",34
"91","14",34
"96","60",34
"67","161",34
"90","177",35
"104","26",35
"94","185",35
"93","169",36
"105","34",36
"112","36",36
"106","66",36
"107","167",37
"115","194",37
"110","58",37
"108","175",37
"117","189",37
"113","88",37
"109","163",37
"116","123",37
"111","153",37
"114","187",38
"120","119",38
"118","64",38
"119","68",38
"122","117",39
"124","141",40
"130","147",40
"128","129",41
"123","137",41
"127","181",41
"125","191",41
"121","50",41
"126","183",42
"129","133",43
"131","157",43
"135","151",43
"132","155",43
"133","193",43
"134","121",44
"137","135",44
"138","44",45
"136","131",45
"139","159",45
"140","95",45
"143","200",45
"142","70",45
"141","149",46
"144","145",47
"145","179",48
"147","115",49
"150","173",50
"148","7",50
"149","81",51
"151","3",51
"146","1",51
"152","47",51
"153","5",52
"155","75",53
"157","197",53
"159","195",53
"161","154",53
"158","53",53
"189","67",53
"154","73",53
"156","93",53
"167","199",53
"160","9",53
"182","51",54
"195","85",55
"198","91",56
"169","23",57
"179","43",58
"199","97",59
"166","19",60
"168","21",61
"177","39",62
"174","33",63
"183","55",63
"188","65",64
"194","83",64
"163","13",65
"200","99",65
"164","15",66
"165","17",67
"175","35",67
"178","41",68
"191","71",68
"180","45",69
"162","11",70
"171","27",70
"181","49",71
"172","29",72
"173","31",72
"192","77",73
"193","79",74
"170","25",75
"176","37",75
"185","59",75
"184","57",76
"196","87",76
"186","61",77
"187","63",78
"190","69",79
"197","89",80
