node,hopcount,latency,power,deploymentPenalty,cost
0,4,292,655.0,40,40
1,4,292,764.5,1,40
2,4,337,805.5,40,40
3,4,369,714.5,1,40
4,4,341,781.5,40,40
5,3,307,805.5,1,40
6,3,265,664.0,40,40
7,4,338,681.0,1,40
8,5,387,690.0,40,40
9,5,480,783.0,1,40
10,5,465,789.5,40,40
11,5,368,590.5,1,40
12,4,389,772.5,40,40
13,4,471,691.0,1,40
14,5,412,745.0,40,40
15,4,405,824.0,1,40
16,5,457,709.5,40,40
17,4,417,584.5,1,40
18,5,518,669.0,40,40
19,5,510,815.0,1,40
20,5,400,693.0,40,40
21,4,439,782.0,1,40
22,5,446,818.5,40,40
23,5,388,838.0,1,40
24,5,549,716.5,40,40
25,4,485,609.0,1,40
26,4,419,769.0,40,40
27,5,439,579.5,1,40
28,4,437,806.0,40,40
29,5,395,725.0,1,40
30,4,443,651.0,40,40
31,5,425,816.5,1,40
32,5,394,780.5,40,40
33,5,547,559.0,1,40
34,4,407,632.5,40,40
35,5,370,570.0,1,40
36,5,549,757.5,40,40
37,5,487,741.5,1,40
38,4,385,784.0,40,40
39,5,483,660.5,1,40
40,4,411,703.5,40,40
41,5,444,780.5,1,40
42,5,486,753.0,40,40
43,5,444,611.5,1,40
44,5,477,647.5,40,40
45,4,443,746.0,1,40
46,4,307,527.5,40,40
47,5,473,721.5,1,40
48,5,499,655.0,40,40
49,5,554,724.5,1,40
50,5,448,580.0,40,40
51,5,384,765.5,1,40
52,5,373,677.5,40,40
53,4,305,596.0,1,40
54,5,527,758.0,40,40
55,4,445,623.0,1,40
56,5,438,780.0,40,40
57,4,523,733.5,1,40
58,5,561,568.0,40,40
59,5,515,614.0,1,40
60,5,665,573.0,40,40
61,5,440,791.0,1,40
62,5,628,737.5,40,40
63,5,517,798.5,1,40
64,5,596,733.0,40,40
65,4,340,645.0,1,40
66,5,424,529.0,40,40
67,5,597,746.0,1,40
68,5,444,589.0,40,40
69,5,639,694.5,1,40
70,5,526,541.5,40,40
71,5,475,651.0,1,40
72,4,397,805.0,40,40
73,4,437,635.0,1,40
74,5,360,626.0,40,40
75,5,466,718.5,1,40
76,4,401,545.0,40,40
77,5,583,533.0,1,40
78,5,501,681.0,40,40
79,4,411,650.0,1,40
80,5,328,659.5,40,40
81,5,510,749.5,1,40
82,5,457,566.0,40,40
83,5,399,813.0,1,40
84,5,460,646.0,40,40
85,4,315,822.0,1,40
86,5,566,796.5,40,40
87,5,405,682.5,1,40
88,4,502,711.0,40,40
89,4,451,807.5,1,40
90,5,443,614.0,40,40
91,2,177,753.5,1,40
92,4,411,786.5,40,40
93,4,574,542.0,1,40
94,5,443,579.0,40,40
95,4,359,803.5,1,40
96,5,395,778.5,40,40
97,4,379,800.0,1,40
98,4,391,780.0,40,40
99,4,301,714.0,1,40
100,5,333,527.5,40,1
101,4,475,557.0,1,1
102,5,488,659.5,40,1
103,3,235,567.0,1,1
104,5,423,541.0,40,1
105,5,512,750.0,1,1
106,5,583,657.0,40,1
107,5,430,668.0,1,1
108,4,443,715.5,40,1
109,5,421,652.0,1,1
110,4,383,715.0,40,1
111,4,471,572.5,1,1
112,5,455,577.0,40,1
113,5,512,797.5,1,1
114,5,718,763.5,40,1
115,6,676,759.0,1,1
116,6,620,552.0,40,1
117,6,592,819.0,1,1
118,6,566,565.5,40,1
119,6,750,741.5,1,1
120,6,574,661.5,40,1
121,6,545,651.5,1,1
122,5,608,540.5,40,1
123,6,572,815.5,1,1
124,6,725,551.5,40,1
125,6,576,542.0,1,1
126,5,535,796.0,40,1
127,6,607,808.5,1,1
128,6,769,541.0,40,1
129,5,555,563.0,1,1
130,6,639,820.5,40,1
131,6,650,821.5,1,1
132,5,640,824.5,40,1
133,6,640,809.5,1,1
134,5,686,609.5,40,1
135,5,544,540.0,1,1
136,6,622,553.5,40,1
137,5,449,573.5,1,1
138,6,415,663.5,40,1
139,6,595,653.0,1,1
140,5,644,590.5,40,1
141,5,614,768.0,1,1
142,6,589,770.5,40,1
143,6,627,657.5,1,1
144,4,484,574.0,40,1
145,6,466,586.0,1,1
146,6,668,531.5,40,1
147,6,528,691.0,1,1
148,6,564,740.5,40,1
149,5,669,624.0,1,1
150,1,0,540.5,40,1
151,6,485,645.5,1,1
152,5,636,766.0,40,1
153,6,510,7500.0,1,1
154,6,529,613.0,40,1
155,6,608,620.0,1,1
156,6,468,690.0,40,1
157,3,297,771.0,1,1
158,6,680,716.0,40,1
159,6,698,704.0,1,1
160,5,455,673.0,40,1
161,5,534,630.0,1,1
162,5,636,749.5,40,1
163,5,433,679.5,1,1
164,6,692,558.0,40,1
165,6,571,726.0,1,1
166,6,542,838.5,40,1
167,5,450,604.5,1,1
168,5,620,668.0,40,1
169,6,771,801.5,1,1
170,6,512,684.0,40,1
171,5,559,768.0,1,1
172,6,671,594.0,40,1
173,5,428,545.0,1,1
174,5,566,581.5,40,1
175,6,727,717.0,1,1
176,4,343,623.5,40,1
177,5,435,722.5,1,1
178,6,766,818.0,40,1
179,5,675,739.0,1,1
180,5,654,574.0,40,1
181,6,783,771.5,1,1
182,6,618,809.0,40,1
183,6,738,802.0,1,1
184,5,674,622.0,40,1
185,6,829,596.0,1,1
186,5,478,738.0,40,1
187,6,535,606.0,1,1
188,5,519,807.0,40,1
189,4,445,551.5,1,1
190,6,652,561.0,40,1
191,5,550,663.0,1,1
192,5,533,664.5,40,1
193,6,719,586.5,1,1
194,7,732,810.5,40,1
195,7,883,618.0,1,1
196,7,1021,666.0,40,1
197,6,652,595.5,1,1
198,8,1231,748.5,40,1
199,7,892,734.0,1,1
