"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","169",1
"2","108",2
"3","179",3
"4","171",4
"6","101",5
"7","181",6
"8","109",7
"5","140",7
"10","103",7
"11","105",8
"12","113",9
"13","157",10
"14","111",11
"9","172",11
"15","189",12
"16","193",12
"17","149",13
"19","146",14
"20","104",15
"22","127",16
"18","184",16
"23","107",16
"25","191",17
"26","167",18
"27","177",18
"28","185",18
"29","175",19
"34","73",19
"31","123",19
"36","85",19
"33","145",19
"35","67",20
"38","3",20
"39","57",20
"37","187",20
"42","141",21
"44","165",21
"43","133",21
"32","102",21
"46","125",21
"21","139",21
"30","119",22
"51","135",22
"24","161",22
"40","106",23
"49","112",23
"50","115",23
"41","117",23
"45","69",23
"52","110",23
"47","147",23
"48","183",23
"53","121",24
"57","173",24
"56","151",24
"60","1",24
"54","153",24
"55","163",24
"58","137",25
"61","155",26
"65","129",26
"62","195",26
"63","131",27
"70","93",27
"67","159",27
"74","7",27
"59","136",27
"64","144",28
"72","143",28
"73","152",28
"75","174",29
"71","8",29
"66","122",29
"69","81",29
"80","91",29
"77","138",29
"76","180",29
"79","162",29
"78","164",29
"84","5",29
"81","190",29
"86","130",29
"87","188",29
"85","126",30
"89","178",31
"68","47",31
"88","168",31
"92","192",31
"82","53",31
"91","166",32
"90","124",33
"94","75",33
"93","13",33
"83","95",33
"95","158",34
"96","33",35
"98","21",36
"99","35",36
"101","15",37
"102","27",38
"103","45",38
"104","51",39
"106","9",39
"111","186",39
"105","148",39
"109","29",39
"97","132",39
"100","118",40
"112","31",40
"113","49",40
"107","128",40
"108","134",40
"110","142",40
"116","156",41
"115","160",41
"117","39",42
"119","116",42
"120","176",43
"114","83",43
"126","97",43
"130","23",43
"131","43",44
"122","17",44
"125","41",44
"133","19",44
"134","55",44
"118","71",44
"136","99",44
"124","182",44
"121","120",45
"128","150",45
"129","11",45
"123","170",45
"139","65",45
"127","114",45
"147","2",45
"150","4",46
"135","59",46
"140","197",46
"155","6",46
"160","88",46
"143","61",46
"159","84",46
"137","25",46
"138","37",46
"152","48",46
"157","74",46
"151","40",47
"163","98",48
"132","154",48
"146","16",48
"142","87",48
"149","24",48
"162","94",48
"145","100",49
"141","77",49
"156","64",50
"161","90",51
"154","56",52
"153","54",53
"144","10",54
"173","30",54
"186","66",55
"167","12",56
"176","36",56
"164","63",56
"158","82",56
"148","20",57
"182","52",57
"165","79",57
"193","86",57
"166","89",57
"178","42",58
"194","92",59
"174","32",60
"190","76",60
"172","28",61
"179","44",62
"168","14",63
"171","26",64
"185","62",65
"169","18",66
"192","80",66
"177","38",67
"180","46",67
"170","22",68
"184","60",69
"191","78",70
"195","96",70
"175","34",71
"198","198",71
"183","58",71
"196","194",71
"197","196",72
"187","68",72
"189","72",72
"199","199",72
"181","50",72
"200","200",72
"188","70",73
