"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","167",1
"2","113",2
"3","75",3
"4","106",4
"5","157",5
"6","177",6
"7","111",7
"9","112",8
"8","119",8
"10","1",9
"12","152",9
"11","149",10
"13","101",11
"14","187",11
"15","117",12
"16","107",13
"17","105",14
"18","81",15
"19","139",16
"22","100",16
"21","160",16
"20","161",16
"26","3",16
"24","127",16
"30","162",16
"25","88",16
"27","155",17
"32","164",17
"33","188",18
"36","180",18
"35","130",19
"38","5",20
"28","109",20
"29","153",20
"31","163",20
"34","65",21
"37","174",22
"23","147",22
"41","93",22
"39","102",22
"44","73",22
"40","103",22
"42","138",22
"43","67",22
"46","9",22
"47","71",23
"45","89",23
"49","171",24
"48","175",24
"51","63",24
"52","7",25
"55","8",26
"56","80",27
"57","78",28
"58","146",29
"59","83",29
"50","21",29
"62","85",29
"64","95",30
"54","33",30
"60","47",31
"65","13",31
"67","17",31
"70","23",32
"61","94",32
"69","96",32
"53","15",32
"71","35",32
"73","154",32
"63","169",32
"77","11",32
"78","132",32
"66","136",32
"76","186",32
"75","4",32
"72","90",32
"84","45",32
"85","134",32
"82","43",32
"87","27",32
"80","6",32
"83","108",32
"74","129",32
"81","84",33
"88","24",34
"90","30",34
"91","31",34
"92","53",34
"93","99",35
"86","123",35
"68","36",35
"95","66",35
"79","185",35
"98","98",35
"99","19",35
"102","29",35
"94","104",35
"100","110",35
"103","16",36
"89","137",36
"105","56",36
"96","2",36
"106","28",36
"97","190",36
"112","48",36
"107","55",36
"101","183",36
"108","122",36
"110","151",36
"116","44",36
"115","40",37
"109","141",37
"113","59",37
"114","25",37
"111","181",37
"118","37",37
"117","126",38
"121","32",38
"123","62",39
"104","115",39
"132","54",39
"127","165",40
"128","176",40
"122","51",40
"119","173",40
"131","49",40
"125","133",41
"130","38",41
"136","74",41
"120","131",41
"137","10",41
"133","166",41
"134","192",41
"129","189",41
"138","39",41
"135","150",41
"141","125",41
"139","41",41
"145","170",42
"147","87",43
"140","77",43
"142","135",44
"143","142",44
"124","121",44
"126","159",44
"149","12",44
"151","92",45
"146","197",45
"148","86",45
"156","60",45
"150","82",45
"154","50",46
"144","144",46
"160","52",46
"153","198",46
"155","57",46
"152","168",47
"161","143",47
"159","178",47
"164","191",47
"163","97",47
"157","124",47
"167","20",47
"166","14",48
"165","91",48
"162","148",48
"169","34",48
"171","145",48
"158","158",48
"168","26",48
"170","140",49
"173","58",50
"172","18",51
"174","42",52
"176","72",53
"175","118",54
"179","68",55
"178","46",56
"186","61",56
"182","196",56
"177","22",56
"185","179",56
"183","64",56
"181","128",57
"180","114",58
"188","193",58
"184","172",58
"189","79",59
"187","120",60
"197","195",60
"190","69",60
"198","199",60
"196","194",61
"192","116",62
"193","156",62
"191","76",62
"194","182",63
"195","184",64
"200","70",64
"199","200",65
