node,hopcount,latency,power,deploymentPenalty,cost
0,4,309,655.0,1,40
1,4,306,764.5,40,40
2,3,290,805.5,1,40
3,4,325,714.5,40,40
4,4,514,781.5,1,40
5,4,320,805.5,40,40
6,4,356,664.0,1,40
7,5,369,681.0,40,40
8,5,560,690.0,1,40
9,6,511,783.0,40,40
10,6,415,789.5,1,40
11,5,382,590.5,40,40
12,5,402,772.5,1,40
13,5,484,691.0,40,40
14,5,429,745.0,1,40
15,5,355,824.0,40,40
16,5,630,709.5,1,40
17,5,508,584.5,40,40
18,6,549,669.0,1,40
19,6,541,815.0,40,40
20,5,417,693.0,1,40
21,5,530,782.0,40,40
22,6,477,818.5,1,40
23,6,419,838.0,40,40
24,6,499,716.5,1,40
25,5,498,609.0,40,40
26,5,432,769.0,1,40
27,6,389,579.5,40,40
28,5,450,806.0,1,40
29,5,351,725.0,40,40
30,5,456,651.0,1,40
31,6,375,816.5,40,40
32,5,411,780.5,1,40
33,6,497,559.0,40,40
34,5,420,632.5,1,40
35,5,387,570.0,40,40
36,6,499,757.5,1,40
37,6,437,741.5,40,40
38,5,476,784.0,1,40
39,4,436,660.5,40,40
40,5,502,703.5,1,40
41,5,458,780.5,40,40
42,6,517,753.0,1,40
43,6,394,611.5,40,40
44,5,433,647.5,1,40
45,5,534,746.0,40,40
46,5,398,527.5,1,40
47,4,426,721.5,40,40
48,5,455,655.0,1,40
49,6,594,724.5,40,40
50,5,462,580.0,1,40
51,5,398,765.5,40,40
52,5,387,677.5,1,40
53,5,396,596.0,40,40
54,6,670,758.0,1,40
55,5,458,623.0,40,40
56,5,451,780.0,1,40
57,5,614,733.5,40,40
58,6,511,568.0,1,40
59,6,465,614.0,40,40
60,5,654,573.0,1,40
61,5,613,791.0,40,40
62,6,564,737.5,1,40
63,4,470,798.5,40,40
64,6,637,733.0,1,40
65,5,366,645.0,40,40
66,5,498,529.0,1,40
67,5,674,746.0,40,40
68,5,613,589.0,1,40
69,5,557,694.5,40,40
70,5,622,541.5,1,40
71,6,536,651.0,40,40
72,4,332,805.0,1,40
73,4,426,635.0,40,40
74,6,458,626.0,1,40
75,5,480,718.5,40,40
76,5,403,545.0,1,40
77,6,500,533.0,40,40
78,6,556,681.0,1,40
79,5,502,650.0,40,40
80,5,342,659.5,1,40
81,5,575,749.5,40,40
82,3,398,566.0,1,40
83,2,228,813.0,40,40
84,5,402,646.0,1,40
85,5,406,822.0,40,40
86,4,521,796.5,1,40
87,4,358,682.5,40,40
88,5,515,711.0,1,40
89,5,464,807.5,40,40
90,4,396,614.0,1,40
91,5,450,753.5,40,40
92,4,334,786.5,1,40
93,5,587,542.0,40,40
94,5,411,579.0,1,40
95,5,372,803.5,40,40
96,5,484,778.5,1,40
97,5,392,800.0,40,40
98,5,482,780.0,1,40
99,5,392,714.0,40,40
100,5,349,527.5,1,1
101,5,488,557.0,40,1
102,5,418,659.5,1,1
103,5,367,567.0,40,1
104,5,379,541.0,1,1
105,5,430,750.0,40,1
106,5,847,657.0,1,1
107,4,364,668.0,40,1
108,5,456,715.5,1,1
109,4,729,652.0,40,1
110,5,423,715.0,1,1
111,5,432,572.5,40,1
112,5,411,577.0,1,1
113,6,514,797.5,40,1
114,6,731,763.5,1,1
115,5,984,759.0,40,1
116,6,576,552.0,1,1
117,5,900,819.0,40,1
118,6,522,565.5,1,1
119,6,815,741.5,40,1
120,5,882,661.5,1,1
121,6,475,651.5,40,1
122,6,621,540.5,1,1
123,6,540,815.5,40,1
124,6,655,551.5,1,1
125,6,532,542.0,40,1
126,6,548,796.0,1,1
127,5,915,808.5,40,1
128,6,1033,541.0,1,1
129,6,516,563.0,40,1
130,6,716,820.5,1,1
131,6,606,821.5,40,1
132,6,653,824.5,1,1
133,6,904,809.5,40,1
134,6,699,609.5,1,1
135,6,557,540.0,40,1
136,4,563,553.5,1,1
137,6,489,573.5,40,1
138,6,429,663.5,1,1
139,5,529,653.0,40,1
140,6,657,590.5,1,1
141,6,654,768.0,40,1
142,7,539,770.5,1,1
143,1,0,657.5,40,1
144,6,616,574.0,1,1
145,6,540,586.0,40,1
146,6,624,531.5,1,1
147,6,544,691.0,40,1
148,5,517,740.5,1,1
149,6,760,624.0,40,1
150,6,627,540.5,1,1
151,6,441,645.5,40,1
152,6,597,766.0,1,1
153,7,608,7500.0,40,1
154,7,620,613.0,1,1
155,6,697,620.0,40,1
156,5,421,690.0,1,1
157,6,570,771.0,40,1
158,7,630,716.0,1,1
159,6,616,704.0,40,1
160,6,495,673.0,1,1
161,6,495,630.0,40,1
162,6,597,749.5,1,1
163,6,524,679.5,40,1
164,6,622,558.0,1,1
165,6,585,726.0,40,1
166,6,460,838.5,1,1
167,6,541,604.5,40,1
168,5,412,668.0,1,1
169,6,727,801.5,40,1
170,6,454,684.0,1,1
171,5,580,768.0,40,1
172,5,624,594.0,1,1
173,6,468,545.0,40,1
174,6,660,581.5,1,1
175,6,991,717.0,40,1
176,6,475,623.5,1,1
177,6,526,722.5,40,1
178,5,700,818.0,1,1
179,5,598,739.0,40,1
180,5,577,574.0,1,1
181,6,739,771.5,40,1
182,6,574,809.0,1,1
183,5,672,802.0,40,1
184,6,722,622.0,1,1
185,6,642,596.0,40,1
186,6,617,738.0,1,1
187,6,523,606.0,40,1
188,5,492,807.0,1,1
189,6,985,551.5,40,1
190,3,498,561.0,1,1
191,6,563,663.0,40,1
192,6,624,664.5,1,1
193,7,810,586.5,40,1
194,4,578,810.5,1,1
195,7,1147,618.0,40,1
196,7,834,666.0,1,1
197,7,692,595.5,40,1
198,8,1044,748.5,1,1
199,8,932,734.0,40,1
