node,hopcount,latency,power,deploymentPenalty,cost
0,3,132,655.0,40,40
1,3,194,764.5,1,40
2,3,166,805.5,40,40
3,3,198,714.5,1,40
4,3,314,781.5,40,40
5,2,136,805.5,1,40
6,3,205,664.0,40,40
7,2,122,681.0,1,40
8,4,360,690.0,40,40
9,3,264,783.0,1,40
10,3,134,789.5,40,40
11,4,270,590.5,1,40
12,3,218,772.5,40,40
13,3,300,691.0,1,40
14,4,252,745.0,40,40
15,2,74,824.0,1,40
16,4,430,709.5,40,40
17,4,357,584.5,1,40
18,3,302,669.0,40,40
19,3,294,815.0,1,40
20,4,240,693.0,40,40
21,4,379,782.0,1,40
22,3,230,818.5,40,40
23,3,172,838.0,1,40
24,3,218,716.5,40,40
25,3,314,609.0,1,40
26,3,248,769.0,40,40
27,3,108,579.5,1,40
28,3,266,806.0,40,40
29,4,224,725.0,1,40
30,3,272,651.0,40,40
31,3,94,816.5,1,40
32,4,234,780.5,40,40
33,3,216,559.0,1,40
34,3,236,632.5,40,40
35,4,210,570.0,1,40
36,3,218,757.5,40,40
37,3,156,741.5,1,40
38,4,325,784.0,40,40
39,4,312,660.5,1,40
40,4,351,703.5,40,40
41,4,346,780.5,1,40
42,3,270,753.0,40,40
43,3,113,611.5,1,40
44,4,306,647.5,40,40
45,4,383,746.0,1,40
46,4,539,527.5,40,40
47,4,302,721.5,1,40
48,4,328,655.0,40,40
49,3,305,724.5,1,40
50,2,36,580.0,40,40
51,3,208,765.5,1,40
52,4,275,677.5,40,40
53,3,262,596.0,1,40
54,3,311,758.0,40,40
55,3,274,623.0,1,40
56,3,107,780.0,40,40
57,4,358,733.5,1,40
58,3,230,568.0,40,40
59,3,184,614.0,1,40
60,4,500,573.0,40,40
61,4,413,791.0,1,40
62,3,104,737.5,40,40
63,3,128,798.5,1,40
64,3,380,733.0,40,40
65,3,179,645.0,1,40
66,3,208,529.0,40,40
67,2,154,746.0,1,40
68,3,113,589.0,40,40
69,3,308,694.5,1,40
70,3,136,541.5,40,40
71,3,144,651.0,1,40
72,3,236,805.0,40,40
73,3,272,635.0,1,40
74,3,144,626.0,40,40
75,4,368,718.5,1,40
76,3,240,545.0,40,40
77,3,252,533.0,1,40
78,3,170,681.0,40,40
79,3,184,650.0,1,40
80,4,230,659.5,40,40
81,3,294,749.5,1,40
82,4,430,566.0,40,40
83,4,228,813.0,1,40
84,3,244,646.0,40,40
85,3,190,822.0,1,40
86,3,176,796.5,40,40
87,4,368,682.5,1,40
88,3,331,711.0,40,40
89,3,280,807.5,1,40
90,3,170,614.0,40,40
91,3,132,753.5,1,40
92,3,240,786.5,40,40
93,3,403,542.0,1,40
94,2,134,579.0,40,40
95,3,188,803.5,1,40
96,4,372,778.5,40,40
97,3,208,800.0,1,40
98,3,292,780.0,40,40
99,3,214,714.0,1,40
100,3,214,527.5,40,1
101,3,304,557.0,1,1
102,3,272,659.5,40,1
103,2,74,567.0,1,1
104,3,98,541.0,40,1
105,3,296,750.0,1,1
106,3,140,657.0,40,1
107,3,290,668.0,1,1
108,1,0,715.5,40,1
109,2,22,652.0,1,1
110,3,212,715.0,40,1
111,3,300,572.5,1,1
112,4,444,577.0,40,1
113,4,351,797.5,1,1
114,4,547,763.5,40,1
115,3,277,759.0,1,1
116,5,609,552.0,40,1
117,3,193,819.0,1,1
118,5,555,565.5,40,1
119,4,534,741.5,1,1
120,3,175,661.5,40,1
121,4,329,651.5,1,1
122,2,165,540.5,40,1
123,3,263,815.5,1,1
124,4,509,551.5,40,1
125,4,251,542.0,1,1
126,4,364,796.0,40,1
127,3,208,808.5,1,1
128,4,326,541.0,40,1
129,4,384,563.0,1,1
130,3,196,820.5,40,1
131,5,639,821.5,1,1
132,4,469,824.5,40,1
133,4,197,809.5,1,1
134,2,243,609.5,40,1
135,4,373,540.0,1,1
136,5,595,553.5,40,1
137,4,278,573.5,1,1
138,5,317,663.5,40,1
139,4,455,653.0,1,1
140,2,201,590.5,40,1
141,4,443,768.0,1,1
142,4,258,770.5,40,1
143,5,456,657.5,1,1
144,3,323,574.0,40,1
145,4,250,586.0,1,1
146,5,657,531.5,40,1
147,4,409,691.0,1,1
148,5,527,740.5,40,1
149,4,442,624.0,1,1
150,4,309,540.5,40,1
151,5,474,645.5,1,1
152,4,465,766.0,40,1
153,4,294,7500.0,1,1
154,4,372,613.0,40,1
155,5,585,620.0,1,1
156,5,431,690.0,40,1
