"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","197",1
"2","113",2
"3","107",3
"4","101",4
"5","119",5
"6","111",6
"7","117",7
"8","105",8
"9","129",9
"10","147",9
"11","199",9
"12","109",10
"13","139",10
"14","161",10
"15","185",10
"16","187",11
"17","157",12
"18","127",13
"20","121",14
"21","167",15
"19","177",15
"22","163",16
"23","153",17
"25","189",17
"27","103",18
"24","123",18
"26","169",19
"30","191",19
"28","175",19
"29","149",20
"31","141",21
"32","143",21
"34","135",22
"35","183",22
"36","137",23
"33","131",23
"37","159",24
"38","133",25
"39","155",26
"40","115",27
"41","193",27
"42","195",28
"43","179",29
"44","181",30
"45","186",31
"46","165",32
"47","125",33
"48","145",34
"49","173",34
"50","171",35
"51","151",36
"103","81",37
"64","1",38
"86","5",39
"93","63",39
"97","7",39
"101","77",39
"112","97",39
"75","3",40
"92","61",41
"95","67",41
"96","69",42
"111","95",42
"98","71",43
"100","75",44
"70","21",45
"83","45",45
"99","73",45
"107","89",45
"108","9",45
"65","11",46
"67","15",46
"77","33",46
"90","57",46
"110","93",46
"113","99",47
"104","83",48
"85","49",49
"84","47",50
"66","13",51
"52","152",51
"78","35",51
"80","39",51
"68","17",52
"81","41",52
"91","59",52
"71","23",53
"73","27",53
"82","43",53
"105","85",53
"72","25",54
"76","31",54
"109","91",54
"79","37",55
"53","106",55
"57","134",55
"54","188",55
"55","192",55
"74","29",55
"87","51",55
"56","110",55
"59","190",55
"88","53",55
"58","176",55
"69","19",55
"94","65",55
"89","55",56
"60","112",56
"61","138",56
"62","174",56
"102","79",56
"106","87",56
"63","102",56
"114","132",56
"115","148",57
"116","108",58
"117","130",58
"118","162",58
"119","180",58
"120","136",59
"121","172",60
"122","126",61
"123","160",61
"124","164",62
"125","114",63
"126","166",63
"129","170",63
"127","196",63
"128","156",64
"130","142",65
"131","198",65
"132","104",66
"133","178",67
"134","124",68
"135","118",69
"136","128",69
"137","146",70
"138","168",71
"139","116",72
"141","122",73
"140","140",73
"142","144",74
"146","182",74
"143","184",74
"144","120",75
"151","150",75
"145","158",75
"158","200",76
"155","194",77
"152","154",78
"188","76",79
"199","96",80
"168","4",81
"196","90",81
"153","16",82
"163","30",83
"190","8",83
"162","28",84
"179","6",85
"200","98",85
"148","100",86
"156","2",86
"166","36",86
"164","32",87
"195","88",88
"182","64",89
"160","24",90
"193","84",90
"165","34",91
"189","78",91
"198","94",91
"149","12",92
"186","72",92
"180","60",93
"167","38",94
"154","18",95
"171","44",95
"176","54",95
"177","56",95
"181","62",96
"174","50",97
"194","86",98
"173","48",99
"175","52",99
"183","66",99
"187","74",99
"184","68",100
"191","80",100
"147","10",101
"159","22",101
"161","26",101
"169","40",101
"185","70",101
"172","46",102
"157","20",103
"192","82",103
"150","14",104
"170","42",104
"178","58",104
"197","92",105
