node,hopcount,latency,power,deploymentPenalty,cost
0,4,197,655.0,1,40
1,4,197,764.5,40,40
2,4,236,805.5,1,40
3,4,185,714.5,40,40
4,4,246,781.5,1,40
5,4,239,805.5,40,40
6,3,170,664.0,1,40
7,4,302,681.0,40,40
8,5,292,690.0,1,40
9,5,444,783.0,40,40
10,4,296,789.5,1,40
11,5,273,590.5,40,40
12,5,321,772.5,1,40
13,5,403,691.0,40,40
14,5,317,745.0,1,40
15,3,236,824.0,40,40
16,5,362,709.5,1,40
17,4,322,584.5,40,40
18,5,482,669.0,1,40
19,5,474,815.0,40,40
20,5,305,693.0,1,40
21,4,344,782.0,40,40
22,5,410,818.5,1,40
23,5,352,838.0,40,40
24,4,380,716.5,1,40
25,5,417,609.0,40,40
26,5,351,769.0,1,40
27,4,270,579.5,40,40
28,5,369,806.0,1,40
29,5,211,725.0,40,40
30,5,375,651.0,1,40
31,4,256,816.5,40,40
32,5,299,780.5,1,40
33,4,378,559.0,40,40
34,5,339,632.5,1,40
35,5,275,570.0,40,40
36,4,380,757.5,1,40
37,4,318,741.5,40,40
38,4,290,784.0,1,40
39,5,382,660.5,40,40
40,4,316,703.5,1,40
41,5,349,780.5,40,40
42,5,450,753.0,1,40
43,4,275,611.5,40,40
44,5,293,647.5,1,40
45,4,348,746.0,40,40
46,4,212,527.5,1,40
47,5,372,721.5,40,40
48,5,315,655.0,1,40
49,4,467,724.5,40,40
50,5,353,580.0,1,40
51,4,370,765.5,40,40
52,5,278,677.5,1,40
53,4,210,596.0,40,40
54,5,491,758.0,1,40
55,5,377,623.0,40,40
56,4,269,780.0,1,40
57,4,428,733.5,40,40
58,4,392,568.0,1,40
59,4,346,614.0,40,40
60,5,282,573.0,1,40
61,5,345,791.0,40,40
62,4,266,737.5,1,40
63,4,290,798.5,40,40
64,5,560,733.0,1,40
65,5,254,645.0,40,40
66,5,388,529.0,1,40
67,5,406,746.0,40,40
68,4,275,589.0,1,40
69,4,470,694.5,40,40
70,5,354,541.5,1,40
71,4,306,651.0,40,40
72,5,278,805.0,1,40
73,4,342,635.0,40,40
74,5,324,626.0,1,40
75,5,371,718.5,40,40
76,5,263,545.0,1,40
77,4,414,533.0,40,40
78,4,332,681.0,1,40
79,4,316,650.0,40,40
80,5,233,659.5,1,40
81,5,474,749.5,40,40
82,5,362,566.0,1,40
83,5,298,813.0,40,40
84,5,424,646.0,1,40
85,2,120,822.0,40,40
86,4,338,796.5,1,40
87,5,304,682.5,40,40
88,4,296,711.0,1,40
89,5,383,807.5,40,40
90,4,332,614.0,1,40
91,4,258,753.5,40,40
92,5,280,786.5,1,40
93,4,242,542.0,40,40
94,5,271,579.0,1,40
95,4,378,803.5,40,40
96,5,375,778.5,1,40
97,5,266,800.0,40,40
98,4,296,780.0,1,40
99,4,206,714.0,40,40
100,5,237,527.5,1,1
101,4,344,557.0,40,1
102,5,309,659.5,1,1
103,5,255,567.0,40,1
104,5,239,541.0,1,1
105,5,443,750.0,40,1
106,4,358,657.0,1,1
107,5,310,668.0,40,1
108,4,310,715.5,1,1
109,5,325,652.0,40,1
110,4,318,715.0,1,1
111,5,323,572.5,40,1
112,5,271,577.0,1,1
113,6,374,797.5,40,1
114,5,587,763.5,1,1
115,6,580,759.0,40,1
116,6,436,552.0,1,1
117,6,496,819.0,40,1
118,6,382,565.5,1,1
119,6,714,741.5,40,1
120,6,478,661.5,1,1
121,6,366,651.5,40,1
122,5,475,540.5,1,1
123,6,400,815.5,40,1
124,6,546,551.5,1,1
125,6,392,542.0,40,1
126,6,467,796.0,1,1
127,6,511,808.5,40,1
128,5,544,541.0,1,1
129,6,407,563.0,40,1
130,6,506,820.5,1,1
131,6,466,821.5,40,1
132,6,527,824.5,1,1
133,5,415,809.5,40,1
134,5,553,609.5,1,1
135,5,413,540.0,40,1
136,6,527,553.5,1,1
137,5,384,573.5,40,1
138,6,320,663.5,1,1
139,6,475,653.0,40,1
140,5,511,590.5,1,1
141,5,549,768.0,40,1
142,5,420,770.5,1,1
143,6,526,657.5,40,1
144,6,504,574.0,1,1
145,6,430,586.0,40,1
146,6,484,531.5,1,1
147,6,432,691.0,40,1
148,6,463,740.5,1,1
149,5,574,624.0,40,1
150,5,435,540.5,1,1
151,6,301,645.5,40,1
152,6,488,766.0,1,1
153,6,474,7500.0,40,1
154,5,534,613.0,1,1
155,6,588,620.0,40,1
156,6,367,690.0,1,1
157,5,378,771.0,40,1
158,5,511,716.0,1,1
159,6,629,704.0,40,1
160,5,390,673.0,1,1
161,6,386,630.0,40,1
162,6,488,749.5,1,1
163,5,338,679.5,40,1
164,6,513,558.0,1,1
165,6,476,726.0,40,1
166,6,473,838.5,1,1
167,3,255,604.5,40,1
168,5,487,668.0,1,1
169,6,587,801.5,40,1
170,6,586,684.0,1,1
171,5,428,768.0,40,1
172,5,560,594.0,1,1
173,5,363,545.0,40,1
174,5,433,581.5,1,1
175,5,502,717.0,40,1
176,5,320,623.5,1,1
177,1,0,722.5,40,1
178,6,646,818.0,1,1
179,6,386,739.0,40,1
180,6,523,574.0,1,1
181,6,599,771.5,40,1
182,6,434,809.0,1,1
183,5,531,802.0,40,1
184,5,468,622.0,1,1
185,5,604,596.0,40,1
186,5,383,738.0,1,1
187,6,383,606.0,40,1
188,6,388,807.0,1,1
189,5,467,551.5,40,1
190,6,568,561.0,1,1
191,5,448,663.0,40,1
192,5,438,664.5,1,1
193,2,284,586.5,40,1
194,7,636,810.5,1,1
195,6,658,618.0,40,1
196,6,796,666.0,1,1
197,6,587,595.5,40,1
198,7,1006,748.5,1,1
199,7,827,734.0,40,1
