"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","101",1
"2","105",2
"3","109",3
"4","111",3
"5","107",4
"6","113",4
"7","103",5
"8","177",5
"9","139",6
"10","161",6
"11","119",7
"12","157",7
"13","187",8
"14","151",9
"15","175",9
"16","193",10
"17","117",11
"18","123",12
"19","185",12
"20","189",13
"21","143",14
"22","149",15
"23","147",16
"24","169",17
"25","183",17
"26","121",18
"27","141",19
"28","127",20
"29","145",21
"30","159",21
"31","165",21
"32","163",22
"33","129",23
"34","137",23
"35","153",23
"36","181",23
"37","155",24
"38","135",25
"39","167",25
"40","125",26
"41","173",26
"42","115",27
"43","191",27
"44","131",28
"45","171",28
"47","197",29
"48","178",30
"46","133",30
"49","179",31
"50","194",31
"51","168",32
"52","195",33
"53","102",34
"54","104",34
"57","112",35
"55","108",36
"56","110",36
"63","199",36
"60","152",37
"58","164",37
"62","174",38
"59","138",39
"67","126",40
"66","122",41
"70","136",42
"77","188",42
"65","114",43
"68","130",44
"61","158",44
"73","162",44
"76","180",45
"71","146",46
"78","190",47
"72","148",48
"69","134",49
"74","172",49
"64","106",50
"79","192",50
"84","7",50
"80","124",51
"83","47",52
"75","176",52
"86","186",52
"88","140",52
"89","166",52
"85","150",52
"87","132",53
"92","69",54
"81","142",54
"82","184",54
"97","198",54
"94","156",55
"93","77",55
"91","1",56
"101","118",56
"98","63",56
"108","89",57
"90","144",57
"112","5",57
"115","91",57
"113","57",57
"117","3",57
"114","41",57
"100","95",57
"102","128",57
"96","196",57
"124","71",57
"120","79",57
"99","81",57
"107","61",57
"123","39",57
"126","99",57
"106","53",57
"109","45",58
"110","9",58
"128","11",58
"116","21",58
"118","49",58
"119","75",58
"127","51",58
"121","15",58
"122","35",58
"136","87",58
"125","93",58
"135","67",58
"129","13",58
"130","33",58
"131","73",58
"132","83",58
"133","17",59
"137","25",59
"139","59",59
"134","27",59
"138","31",60
"140","37",60
"141","97",61
"142","29",62
"143","85",63
"95","160",63
"103","116",64
"145","23",64
"146","43",65
"147","86",65
"105","182",65
"148","19",65
"104","120",65
"111","170",65
"149","55",65
"144","200",65
"150","65",65
"151","154",66
"156","16",66
"198","94",67
"169","4",68
"177","54",69
"158","2",70
"153","100",71
"163","28",72
"164","30",73
"167","36",74
"180","6",75
"157","18",76
"166","34",77
"190","78",77
"197","92",77
"154","12",78
"184","66",79
"165","32",80
"172","44",80
"200","98",81
"168","38",82
"181","60",82
"183","64",82
"187","72",82
"191","8",82
"192","80",82
"160","22",83
"173","46",83
"188","74",83
"176","52",84
"194","84",84
"195","88",84
"199","96",84
"161","24",85
"171","42",85
"175","50",85
"178","56",85
"179","58",85
"182","62",85
"162","26",86
"170","40",86
"174","48",86
"186","70",86
"189","76",86
"196","90",86
"152","10",87
"155","14",87
"185","68",87
"159","20",88
"193","82",88
