id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,12,3,21,5.000048389523574,M.USER.APP.21R0,107,3134383,0
2,LINK,9,2,30,2.0000217843786,M.USER.APP.30R0,109,1626291,1
3,LINK,12,3,2,5.000028860746596,M.USER.APP.2R0,110,1869426,2
4,LINK,9,6,3,1.0000522397520126,M.USER.APP.3R0,110,3387330,3
5,LINK,14,1,72,3.000069098169948,M.USER.APP.72R0,110,3979640,4
6,LINK,9,2,12,2.0000386170332467,M.USER.APP.12R0,110,2882916,5
7,LINK,14,1,98,3.0000509873424317,M.USER.APP.98R0,110,2936565,6
4,LINK,6,5,3,2.0000595909786605,M.USER.APP.3R0,111.00005223975201,3387330,5
1,LINK,3,7,21,2.0000593891846825,M.USER.APP.21R0,112.00004838952357,3134383,5
8,LINK,15,2,40,4.000026473002463,M.USER.APP.40R0,113,1698349,6
5,LINK,1,4,72,1.0000619052359767,M.USER.APP.72R0,113.00006909816994,3979640,5
4,LINK,5,3,3,1.0000493319643482,M.CLOUD.READ.3_0,113.00011183073067,3387330,5
1,LINK,7,2,21,4.000051210387871,M.CLOUD.READ.21_0,114.00010777870826,3134383,5
4,LINK,3,2,3,3.000055134118949,M.CLOUD.READ.3_0,114.00016116269502,3387330,4
7,LINK,1,3,98,5.0000494796037005,M.USER.APP.98R0,116.00012008551238,2936565,4
3,LINK,3,2,2,3.0000304278459584,M.CLOUD.READ.2_0,117.00007725027017,1869426,3
4,LINK,2,20,3,5.0000677466,M.CLOUD.READ.3_0,117.00021629681397,3387330,3
1,LINK,2,20,21,5.00006268766,M.CLOUD.READ.21_0,118.00015898909612,3134383,3
9,LINK,14,13,85,2.0000251055714715,M.USER.APP.85R0,119,1761432,4
10,LINK,12,3,98,5.0000453355513015,M.USER.APP.98R0,119,2936565,5
11,LINK,17,3,42,1.0000472361280899,M.USER.APP.42R0,120,2975262,6
3,LINK,2,20,2,5.00003738852,M.CLOUD.READ.2_0,120.00024672465993,1869426,6
12,LINK,15,2,77,4.000042958755494,M.USER.APP.77R0,121,2755976,7
9,LINK,13,2,85,3.000025114878449,M.CLOUD.READ.85_0,121.00002510557147,1761432,7
11,LINK,3,7,42,2.000056374216041,M.USER.APP.42R0,121.0000472361281,2975262,7
7,LINK,3,2,98,3.0000477972101955,M.CLOUD.READ.98_0,121.00016956511608,2936565,7
13,LINK,9,2,24,2.0000287363972458,M.USER.APP.24R0,123,2145287,7
14,LINK,9,2,62,2.000058225922255,M.USER.APP.62R0,124,4346798,7
9,LINK,2,20,85,5.00003522864,M.CLOUD.READ.85_0,124.00005022044992,1761432,6
7,LINK,2,20,98,5.0000587313,M.CLOUD.READ.98_0,124.00021736232628,2936565,6
15,LINK,15,0,81,5.000060764167925,M.USER.APP.81R0,125,4185922,7
13,LINK,2,3,24,3.00003491791725,M.USER.APP.24R0,125.00002873639724,2145287,7
12,LINK,2,13,77,3.0000392953019177,M.USER.APP.77R0,125.0000429587555,2755976,7
16,LINK,14,1,41,3.000026634996701,M.USER.APP.41R0,127,1534016,8
14,LINK,2,15,62,4.000067755681641,M.USER.APP.62R0,127.0000869623195,4346798,8
17,LINK,17,3,57,1.0000507652690238,M.USER.APP.57R0,128,3197552,8
