id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,16,16_1,M.USER.APP.16R1,3062,3206,88,62,None,0.0,43.00019149123393,43.00019149123393,36.0,43.00019149123393
4,COMP_M,4,4_1,M.USER.APP.4R1,3095,3158,67,26,None,0.0,45.00007969530703,45.00007969530703,37.0,45.00007969530703
3,COMP_M,95,95_1,M.USER.APP.95R1,3107,3522,59,27,None,0.0,46.00010912781396,46.00010912781396,36.0,46.00010912781396
5,COMP_M,25,25_1,M.USER.APP.25R1,3107,3242,59,62,None,0.0,46.000205659353114,46.000205659353114,38.0,46.000205659353114
6,COMP_M,17,17_1,M.USER.APP.17R1,3116,3210,17,3,None,0.0,47.00021452720085,47.00021452720085,39.0,47.00021452720085
1,COMP_M,0,0_1,M.USER.APP.0R1,3125,3142,16,33,None,0.0,50.00027253663912,50.00027253663912,36.0,50.00027253663912
7,COMP_M,24,24_1,M.USER.APP.24R1,3125,3238,16,23,None,0.0,51.000070753854445,51.000070753854445,44.0,51.000070753854445
10,COMP_M,18,18_1,M.USER.APP.18R1,3140,3214,18,25,None,0.0,54.000170387127646,54.000170387127646,47.0,54.000170387127646
9,COMP_M,99,99_1,M.USER.APP.99R1,3134,3538,8,60,None,0.0,57.00018263016035,57.00018263016035,44.0,57.00018263016035
8,COMP_M,39,39_1,M.USER.APP.39R1,3125,3298,16,10,None,0.0,59.00009597333323,59.00009597333323,44.0,59.00009597333323
13,COMP_M,69,69_1,M.USER.APP.69R1,3140,3418,18,43,None,0.0,60.00013514994911,60.00013514994911,54.0,60.00013514994911
11,COMP_M,78,78_1,M.USER.APP.78R1,3062,3454,88,94,None,0.0,61.0002365792212,61.0002365792212,50.0,61.0002365792212
15,COMP_M,42,42_1,M.USER.APP.42R1,3128,3310,28,60,None,0.0,66.00013279231122,66.00013279231122,61.0,66.00013279231122
12,COMP_M,53,53_1,M.USER.APP.53R1,3062,3354,88,66,None,0.0,67.00027159920978,67.00027159920978,54.0,67.00027159920978
16,COMP_M,40,40_1,M.USER.APP.40R1,3137,3302,25,13,None,0.0,69.00009018169692,69.00009018169692,61.0,69.00009018169692
14,COMP_M,84,84_1,M.USER.APP.84R1,3134,3478,8,27,None,0.0,71.0001341042584,71.0001341042584,56.0,71.0001341042584
18,COMP_M,41,41_1,M.USER.APP.41R1,3140,3306,18,37,None,0.0,73.00009820837272,73.00009820837272,62.0,73.00009820837272
