id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,1,2,0,4.000000000381869,M.USER.APP.0,100,20,0
2,LINK,2,0,1,5.000000000289452,M.USER.APP.1,100,20,1
3,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,100,20,2
4,LINK,4,0,3,3.000000000355834,M.USER.APP.3,100,20,3
5,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,100,20,4
1,LINK,2,0,0,5.000000000289452,M.USER.APP.0,104.00000000038187,20,1
6,LINK,1,2,0,4.000000000381869,M.USER.APP.0,200,20,0
7,LINK,2,0,1,5.000000000289452,M.USER.APP.1,200,20,1
8,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,200,20,2
9,LINK,4,0,3,3.000000000355834,M.USER.APP.3,200,20,3
10,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,200,20,4
6,LINK,2,0,0,5.000000000289452,M.USER.APP.0,204.00000000038187,20,1
11,LINK,1,2,0,4.000000000381869,M.USER.APP.0,300,20,0
12,LINK,2,0,1,5.000000000289452,M.USER.APP.1,300,20,1
13,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,300,20,2
14,LINK,4,0,3,3.000000000355834,M.USER.APP.3,300,20,3
15,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,300,20,4
11,LINK,2,0,0,5.000000000289452,M.USER.APP.0,304.0000000003819,20,1
16,LINK,1,2,0,4.000000000381869,M.USER.APP.0,400,20,0
17,LINK,2,0,1,5.000000000289452,M.USER.APP.1,400,20,1
18,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,400,20,2
19,LINK,4,0,3,3.000000000355834,M.USER.APP.3,400,20,3
20,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,400,20,4
16,LINK,2,0,0,5.000000000289452,M.USER.APP.0,404.0000000003819,20,1
21,LINK,1,2,0,4.000000000381869,M.USER.APP.0,500,20,0
22,LINK,2,0,1,5.000000000289452,M.USER.APP.1,500,20,1
23,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,500,20,2
24,LINK,4,0,3,3.000000000355834,M.USER.APP.3,500,20,3
25,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,500,20,4
21,LINK,2,0,0,5.000000000289452,M.USER.APP.0,504.0000000003819,20,1
26,LINK,1,2,0,4.000000000381869,M.USER.APP.0,600,20,0
27,LINK,2,0,1,5.000000000289452,M.USER.APP.1,600,20,1
28,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,600,20,2
29,LINK,4,0,3,3.000000000355834,M.USER.APP.3,600,20,3
30,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,600,20,4
26,LINK,2,0,0,5.000000000289452,M.USER.APP.0,604.0000000003819,20,1
31,LINK,1,2,0,4.000000000381869,M.USER.APP.0,700,20,0
32,LINK,2,0,1,5.000000000289452,M.USER.APP.1,700,20,1
33,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,700,20,2
34,LINK,4,0,3,3.000000000355834,M.USER.APP.3,700,20,3
35,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,700,20,4
31,LINK,2,0,0,5.000000000289452,M.USER.APP.0,704.0000000003819,20,1
36,LINK,1,2,0,4.000000000381869,M.USER.APP.0,800,20,0
37,LINK,2,0,1,5.000000000289452,M.USER.APP.1,800,20,1
38,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,800,20,2
39,LINK,4,0,3,3.000000000355834,M.USER.APP.3,800,20,3
40,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,800,20,4
36,LINK,2,0,0,5.000000000289452,M.USER.APP.0,804.0000000003819,20,1
41,LINK,1,2,0,4.000000000381869,M.USER.APP.0,900,20,0
42,LINK,2,0,1,5.000000000289452,M.USER.APP.1,900,20,1
43,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,900,20,2
44,LINK,4,0,3,3.000000000355834,M.USER.APP.3,900,20,3
45,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,900,20,4
41,LINK,2,0,0,5.000000000289452,M.USER.APP.0,904.0000000003819,20,1
46,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1000,20,0
47,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1000,20,1
48,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1000,20,2
49,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1000,20,3
50,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1000,20,4
46,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1004.0000000003819,20,1
51,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1100,20,0
52,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1100,20,1
53,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1100,20,2
54,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1100,20,3
55,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1100,20,4
51,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1104.0000000003818,20,1
56,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1200,20,0
57,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1200,20,1
58,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1200,20,2
59,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1200,20,3
60,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1200,20,4
56,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1204.0000000003818,20,1
61,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1300,20,0
62,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1300,20,1
63,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1300,20,2
64,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1300,20,3
65,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1300,20,4
61,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1304.0000000003818,20,1
66,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1400,20,0
67,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1400,20,1
68,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1400,20,2
69,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1400,20,3
70,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1400,20,4
66,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1404.0000000003818,20,1
71,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1500,20,0
72,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1500,20,1
73,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1500,20,2
74,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1500,20,3
75,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1500,20,4
71,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1504.0000000003818,20,1
76,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1600,20,0
77,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1600,20,1
78,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1600,20,2
79,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1600,20,3
80,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1600,20,4
76,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1604.0000000003818,20,1
81,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1700,20,0
82,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1700,20,1
83,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1700,20,2
84,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1700,20,3
85,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1700,20,4
81,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1704.0000000003818,20,1
86,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1800,20,0
87,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1800,20,1
88,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1800,20,2
89,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1800,20,3
90,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1800,20,4
86,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1804.0000000003818,20,1
91,LINK,1,2,0,4.000000000381869,M.USER.APP.0,1900,20,0
92,LINK,2,0,1,5.000000000289452,M.USER.APP.1,1900,20,1
93,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,1900,20,2
94,LINK,4,0,3,3.000000000355834,M.USER.APP.3,1900,20,3
95,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,1900,20,4
91,LINK,2,0,0,5.000000000289452,M.USER.APP.0,1904.0000000003818,20,1
96,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2000,20,0
97,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2000,20,1
98,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2000,20,2
99,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2000,20,3
100,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2000,20,4
96,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2004.0000000003818,20,1
101,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2100,20,0
102,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2100,20,1
103,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2100,20,2
104,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2100,20,3
105,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2100,20,4
101,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2104.000000000382,20,1
106,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2200,20,0
107,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2200,20,1
108,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2200,20,2
109,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2200,20,3
110,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2200,20,4
106,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2204.000000000382,20,1
111,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2300,20,0
112,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2300,20,1
113,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2300,20,2
114,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2300,20,3
115,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2300,20,4
111,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2304.000000000382,20,1
116,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2400,20,0
117,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2400,20,1
118,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2400,20,2
119,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2400,20,3
120,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2400,20,4
116,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2404.000000000382,20,1
121,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2500,20,0
122,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2500,20,1
123,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2500,20,2
124,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2500,20,3
125,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2500,20,4
121,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2504.000000000382,20,1
126,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2600,20,0
127,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2600,20,1
128,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2600,20,2
129,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2600,20,3
130,LINK,0,6,6,2.0000000002846123,M.USER.APP.6,2600,20,4
126,LINK,2,0,0,5.000000000289452,M.USER.APP.0,2604.000000000382,20,1
131,LINK,1,2,0,4.000000000381869,M.USER.APP.0,2700,20,0
132,LINK,2,0,1,5.000000000289452,M.USER.APP.1,2700,20,1
133,LINK,3,0,2,3.0000000003145693,M.USER.APP.2,2700,20,2
134,LINK,4,0,3,3.000000000355834,M.USER.APP.3,2700,20,3
