id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,1,0,3.000004,M.USER.APP.0,100,20,0
1,LINK,1,3,0,3.00002,M.USER.APP.0,103.000004,20,0
2,LINK,0,1,0,3.000004,M.USER.APP.0,200,20,0
2,LINK,1,3,0,3.00002,M.USER.APP.0,203.000004,20,0
3,LINK,0,1,0,3.000004,M.USER.APP.0,300,20,0
3,LINK,1,3,0,3.00002,M.USER.APP.0,303.000004,20,0
4,LINK,0,1,0,3.000004,M.USER.APP.0,400,20,0
4,LINK,1,3,0,3.00002,M.USER.APP.0,403.000004,20,0
5,LINK,0,1,0,3.000004,M.USER.APP.0,500,20,0
5,LINK,1,3,0,3.00002,M.USER.APP.0,503.000004,20,0
6,LINK,0,1,0,3.000004,M.USER.APP.0,600,20,0
6,LINK,1,3,0,3.00002,M.USER.APP.0,603.000004,20,0
7,LINK,0,1,0,3.000004,M.USER.APP.0,700,20,0
7,LINK,1,3,0,3.00002,M.USER.APP.0,703.000004,20,0
8,LINK,0,1,0,3.000004,M.USER.APP.0,800,20,0
8,LINK,1,3,0,3.00002,M.USER.APP.0,803.000004,20,0
9,LINK,0,1,0,3.000004,M.USER.APP.0,900,20,0
9,LINK,1,3,0,3.00002,M.USER.APP.0,903.000004,20,0
10,LINK,0,1,0,3.000004,M.USER.APP.0,1000,20,0
10,LINK,1,3,0,3.00002,M.USER.APP.0,1003.000004,20,0
11,LINK,0,1,0,3.000004,M.USER.APP.0,1100,20,0
11,LINK,1,3,0,3.00002,M.USER.APP.0,1103.000004,20,0
12,LINK,0,1,0,3.000004,M.USER.APP.0,1200,20,0
12,LINK,1,3,0,3.00002,M.USER.APP.0,1203.000004,20,0
13,LINK,0,1,0,3.000004,M.USER.APP.0,1300,20,0
13,LINK,1,3,0,3.00002,M.USER.APP.0,1303.000004,20,0
14,LINK,0,1,0,3.000004,M.USER.APP.0,1400,20,0
14,LINK,1,3,0,3.00002,M.USER.APP.0,1403.000004,20,0
15,LINK,0,1,0,3.000004,M.USER.APP.0,1500,20,0
15,LINK,1,3,0,3.00002,M.USER.APP.0,1503.000004,20,0
16,LINK,0,1,0,3.000004,M.USER.APP.0,1600,20,0
16,LINK,1,3,0,3.00002,M.USER.APP.0,1603.000004,20,0
17,LINK,0,1,0,3.000004,M.USER.APP.0,1700,20,0
17,LINK,1,3,0,3.00002,M.USER.APP.0,1703.000004,20,0
18,LINK,0,1,0,3.000004,M.USER.APP.0,1800,20,0
18,LINK,1,3,0,3.00002,M.USER.APP.0,1803.000004,20,0
19,LINK,0,1,0,3.000004,M.USER.APP.0,1900,20,0
19,LINK,1,3,0,3.00002,M.USER.APP.0,1903.000004,20,0
20,LINK,0,1,0,3.000004,M.USER.APP.0,2000,20,0
20,LINK,1,3,0,3.00002,M.USER.APP.0,2003.000004,20,0
21,LINK,0,1,0,3.000004,M.USER.APP.0,2100,20,0
21,LINK,1,3,0,3.00002,M.USER.APP.0,2103.000004,20,0
22,LINK,0,1,0,3.000004,M.USER.APP.0,2200,20,0
22,LINK,1,3,0,3.00002,M.USER.APP.0,2203.000004,20,0
23,LINK,0,1,0,3.000004,M.USER.APP.0,2300,20,0
23,LINK,1,3,0,3.00002,M.USER.APP.0,2303.000004,20,0
24,LINK,0,1,0,3.000004,M.USER.APP.0,2400,20,0
24,LINK,1,3,0,3.00002,M.USER.APP.0,2403.000004,20,0
25,LINK,0,1,0,3.000004,M.USER.APP.0,2500,20,0
25,LINK,1,3,0,3.00002,M.USER.APP.0,2503.000004,20,0
26,LINK,0,1,0,3.000004,M.USER.APP.0,2600,20,0
26,LINK,1,3,0,3.00002,M.USER.APP.0,2603.000004,20,0
27,LINK,0,1,0,3.000004,M.USER.APP.0,2700,20,0
27,LINK,1,3,0,3.00002,M.USER.APP.0,2703.000004,20,0
28,LINK,0,1,0,3.000004,M.USER.APP.0,2800,20,0
28,LINK,1,3,0,3.00002,M.USER.APP.0,2803.000004,20,0
29,LINK,0,1,0,3.000004,M.USER.APP.0,2900,20,0
29,LINK,1,3,0,3.00002,M.USER.APP.0,2903.000004,20,0
30,LINK,0,1,0,3.000004,M.USER.APP.0,3000,20,0
30,LINK,1,3,0,3.00002,M.USER.APP.0,3003.000004,20,0
31,LINK,0,1,0,3.000004,M.USER.APP.0,3100,20,0
31,LINK,1,3,0,3.00002,M.USER.APP.0,3103.000004,20,0
32,LINK,0,1,0,3.000004,M.USER.APP.0,3200,20,0
32,LINK,1,3,0,3.00002,M.USER.APP.0,3203.000004,20,0
33,LINK,0,1,0,3.000004,M.USER.APP.0,3300,20,0
33,LINK,1,3,0,3.00002,M.USER.APP.0,3303.000004,20,0
34,LINK,0,1,0,3.000004,M.USER.APP.0,3400,20,0
34,LINK,1,3,0,3.00002,M.USER.APP.0,3403.000004,20,0
35,LINK,0,1,0,3.000004,M.USER.APP.0,3500,20,0
35,LINK,1,3,0,3.00002,M.USER.APP.0,3503.000004,20,0
36,LINK,0,1,0,3.000004,M.USER.APP.0,3600,20,0
36,LINK,1,3,0,3.00002,M.USER.APP.0,3603.000004,20,0
37,LINK,0,1,0,3.000004,M.USER.APP.0,3700,20,0
37,LINK,1,3,0,3.00002,M.USER.APP.0,3703.000004,20,0
38,LINK,0,1,0,3.000004,M.USER.APP.0,3800,20,0
38,LINK,1,3,0,3.00002,M.USER.APP.0,3803.000004,20,0
39,LINK,0,1,0,3.000004,M.USER.APP.0,3900,20,0
39,LINK,1,3,0,3.00002,M.USER.APP.0,3903.000004,20,0
40,LINK,0,1,0,3.000004,M.USER.APP.0,4000,20,0
40,LINK,1,3,0,3.00002,M.USER.APP.0,4003.000004,20,0
41,LINK,0,1,0,3.000004,M.USER.APP.0,4100,20,0
41,LINK,1,3,0,3.00002,M.USER.APP.0,4103.000004,20,0
42,LINK,0,1,0,3.000004,M.USER.APP.0,4200,20,0
42,LINK,1,3,0,3.00002,M.USER.APP.0,4203.000004,20,0
43,LINK,0,1,0,3.000004,M.USER.APP.0,4300,20,0
43,LINK,1,3,0,3.00002,M.USER.APP.0,4303.000004,20,0
44,LINK,0,1,0,3.000004,M.USER.APP.0,4400,20,0
44,LINK,1,3,0,3.00002,M.USER.APP.0,4403.000004,20,0
45,LINK,0,1,0,3.000004,M.USER.APP.0,4500,20,0
45,LINK,1,3,0,3.00002,M.USER.APP.0,4503.000004,20,0
46,LINK,0,1,0,3.000004,M.USER.APP.0,4600,20,0
46,LINK,1,3,0,3.00002,M.USER.APP.0,4603.000004,20,0
47,LINK,0,1,0,3.000004,M.USER.APP.0,4700,20,0
47,LINK,1,3,0,3.00002,M.USER.APP.0,4703.000004,20,0
48,LINK,0,1,0,3.000004,M.USER.APP.0,4800,20,0
48,LINK,1,3,0,3.00002,M.USER.APP.0,4803.000004,20,0
49,LINK,0,1,0,3.000004,M.USER.APP.0,4900,20,0
49,LINK,1,3,0,3.00002,M.USER.APP.0,4903.000004,20,0
50,LINK,0,1,0,3.000004,M.USER.APP.0,5000,20,0
50,LINK,1,3,0,3.00002,M.USER.APP.0,5003.000004,20,0
51,LINK,0,1,0,3.000004,M.USER.APP.0,5100,20,0
51,LINK,1,3,0,3.00002,M.USER.APP.0,5103.000004,20,0
52,LINK,0,1,0,3.000004,M.USER.APP.0,5200,20,0
52,LINK,1,3,0,3.00002,M.USER.APP.0,5203.000004,20,0
53,LINK,0,1,0,3.000004,M.USER.APP.0,5300,20,0
53,LINK,1,3,0,3.00002,M.USER.APP.0,5303.000004,20,0
54,LINK,0,1,0,3.000004,M.USER.APP.0,5400,20,0
54,LINK,1,3,0,3.00002,M.USER.APP.0,5403.000004,20,0
55,LINK,0,1,0,3.000004,M.USER.APP.0,5500,20,0
55,LINK,1,3,0,3.00002,M.USER.APP.0,5503.000004,20,0
56,LINK,0,1,0,3.000004,M.USER.APP.0,5600,20,0
56,LINK,1,3,0,3.00002,M.USER.APP.0,5603.000004,20,0
57,LINK,0,1,0,3.000004,M.USER.APP.0,5700,20,0
57,LINK,1,3,0,3.00002,M.USER.APP.0,5703.000004,20,0
58,LINK,0,1,0,3.000004,M.USER.APP.0,5800,20,0
58,LINK,1,3,0,3.00002,M.USER.APP.0,5803.000004,20,0
59,LINK,0,1,0,3.000004,M.USER.APP.0,5900,20,0
59,LINK,1,3,0,3.00002,M.USER.APP.0,5903.000004,20,0
60,LINK,0,1,0,3.000004,M.USER.APP.0,6000,20,0
60,LINK,1,3,0,3.00002,M.USER.APP.0,6003.000004,20,0
61,LINK,0,1,0,3.000004,M.USER.APP.0,6100,20,0
61,LINK,1,3,0,3.00002,M.USER.APP.0,6103.000004,20,0
62,LINK,0,1,0,3.000004,M.USER.APP.0,6200,20,0
62,LINK,1,3,0,3.00002,M.USER.APP.0,6203.000004,20,0
63,LINK,0,1,0,3.000004,M.USER.APP.0,6300,20,0
63,LINK,1,3,0,3.00002,M.USER.APP.0,6303.000004,20,0
64,LINK,0,1,0,3.000004,M.USER.APP.0,6400,20,0
64,LINK,1,3,0,3.00002,M.USER.APP.0,6403.000004,20,0
65,LINK,0,1,0,3.000004,M.USER.APP.0,6500,20,0
65,LINK,1,3,0,3.00002,M.USER.APP.0,6503.000004,20,0
66,LINK,0,1,0,3.000004,M.USER.APP.0,6600,20,0
66,LINK,1,3,0,3.00002,M.USER.APP.0,6603.000004,20,0
67,LINK,0,1,0,3.000004,M.USER.APP.0,6700,20,0
67,LINK,1,3,0,3.00002,M.USER.APP.0,6703.000004,20,0
68,LINK,0,1,0,3.000004,M.USER.APP.0,6800,20,0
68,LINK,1,3,0,3.00002,M.USER.APP.0,6803.000004,20,0
69,LINK,0,1,0,3.000004,M.USER.APP.0,6900,20,0
69,LINK,1,3,0,3.00002,M.USER.APP.0,6903.000004,20,0
70,LINK,0,1,0,3.000004,M.USER.APP.0,7000,20,0
70,LINK,1,3,0,3.00002,M.USER.APP.0,7003.000004,20,0
71,LINK,0,1,0,3.000004,M.USER.APP.0,7100,20,0
71,LINK,1,3,0,3.00002,M.USER.APP.0,7103.000004,20,0
72,LINK,0,1,0,3.000004,M.USER.APP.0,7200,20,0
72,LINK,1,3,0,3.00002,M.USER.APP.0,7203.000004,20,0
73,LINK,0,1,0,3.000004,M.USER.APP.0,7300,20,0
73,LINK,1,3,0,3.00002,M.USER.APP.0,7303.000004,20,0
74,LINK,0,1,0,3.000004,M.USER.APP.0,7400,20,0
74,LINK,1,3,0,3.00002,M.USER.APP.0,7403.000004,20,0
75,LINK,0,1,0,3.000004,M.USER.APP.0,7500,20,0
75,LINK,1,3,0,3.00002,M.USER.APP.0,7503.000004,20,0
76,LINK,0,1,0,3.000004,M.USER.APP.0,7600,20,0
76,LINK,1,3,0,3.00002,M.USER.APP.0,7603.000004,20,0
77,LINK,0,1,0,3.000004,M.USER.APP.0,7700,20,0
77,LINK,1,3,0,3.00002,M.USER.APP.0,7703.000004,20,0
78,LINK,0,1,0,3.000004,M.USER.APP.0,7800,20,0
78,LINK,1,3,0,3.00002,M.USER.APP.0,7803.000004,20,0
79,LINK,0,1,0,3.000004,M.USER.APP.0,7900,20,0
79,LINK,1,3,0,3.00002,M.USER.APP.0,7903.000004,20,0
80,LINK,0,1,0,3.000004,M.USER.APP.0,8000,20,0
80,LINK,1,3,0,3.00002,M.USER.APP.0,8003.000004,20,0
81,LINK,0,1,0,3.000004,M.USER.APP.0,8100,20,0
81,LINK,1,3,0,3.00002,M.USER.APP.0,8103.000004,20,0
82,LINK,0,1,0,3.000004,M.USER.APP.0,8200,20,0
82,LINK,1,3,0,3.00002,M.USER.APP.0,8203.000004,20,0
83,LINK,0,1,0,3.000004,M.USER.APP.0,8300,20,0
83,LINK,1,3,0,3.00002,M.USER.APP.0,8303.000004,20,0
84,LINK,0,1,0,3.000004,M.USER.APP.0,8400,20,0
84,LINK,1,3,0,3.00002,M.USER.APP.0,8403.000004,20,0
85,LINK,0,1,0,3.000004,M.USER.APP.0,8500,20,0
85,LINK,1,3,0,3.00002,M.USER.APP.0,8503.000004,20,0
86,LINK,0,1,0,3.000004,M.USER.APP.0,8600,20,0
86,LINK,1,3,0,3.00002,M.USER.APP.0,8603.000004,20,0
87,LINK,0,1,0,3.000004,M.USER.APP.0,8700,20,0
87,LINK,1,3,0,3.00002,M.USER.APP.0,8703.000004,20,0
88,LINK,0,1,0,3.000004,M.USER.APP.0,8800,20,0
88,LINK,1,3,0,3.00002,M.USER.APP.0,8803.000004,20,0
89,LINK,0,1,0,3.000004,M.USER.APP.0,8900,20,0
89,LINK,1,3,0,3.00002,M.USER.APP.0,8903.000004,20,0
90,LINK,0,1,0,3.000004,M.USER.APP.0,9000,20,0
90,LINK,1,3,0,3.00002,M.USER.APP.0,9003.000004,20,0
91,LINK,0,1,0,3.000004,M.USER.APP.0,9100,20,0
91,LINK,1,3,0,3.00002,M.USER.APP.0,9103.000004,20,0
92,LINK,0,1,0,3.000004,M.USER.APP.0,9200,20,0
92,LINK,1,3,0,3.00002,M.USER.APP.0,9203.000004,20,0
93,LINK,0,1,0,3.000004,M.USER.APP.0,9300,20,0
93,LINK,1,3,0,3.00002,M.USER.APP.0,9303.000004,20,0
94,LINK,0,1,0,3.000004,M.USER.APP.0,9400,20,0
94,LINK,1,3,0,3.00002,M.USER.APP.0,9403.000004,20,0
95,LINK,0,1,0,3.000004,M.USER.APP.0,9500,20,0
95,LINK,1,3,0,3.00002,M.USER.APP.0,9503.000004,20,0
96,LINK,0,1,0,3.000004,M.USER.APP.0,9600,20,0
96,LINK,1,3,0,3.00002,M.USER.APP.0,9603.000004,20,0
97,LINK,0,1,0,3.000004,M.USER.APP.0,9700,20,0
97,LINK,1,3,0,3.00002,M.USER.APP.0,9703.000004,20,0
98,LINK,0,1,0,3.000004,M.USER.APP.0,9800,20,0
98,LINK,1,3,0,3.00002,M.USER.APP.0,9803.000004,20,0
99,LINK,0,1,0,3.000004,M.USER.APP.0,9900,20,0
99,LINK,1,3,0,3.00002,M.USER.APP.0,9903.000004,20,0
100,LINK,0,1,0,3.000004,M.USER.APP.0,10000,20,0
100,LINK,1,3,0,3.00002,M.USER.APP.0,10003.000004,20,0
101,LINK,0,1,0,3.000004,M.USER.APP.0,10100,20,0
101,LINK,1,3,0,3.00002,M.USER.APP.0,10103.000004,20,0
102,LINK,0,1,0,3.000004,M.USER.APP.0,10200,20,0
102,LINK,1,3,0,3.00002,M.USER.APP.0,10203.000004,20,0
103,LINK,0,1,0,3.000004,M.USER.APP.0,10300,20,0
103,LINK,1,3,0,3.00002,M.USER.APP.0,10303.000004,20,0
104,LINK,0,1,0,3.000004,M.USER.APP.0,10400,20,0
104,LINK,1,3,0,3.00002,M.USER.APP.0,10403.000004,20,0
105,LINK,0,1,0,3.000004,M.USER.APP.0,10500,20,0
105,LINK,1,3,0,3.00002,M.USER.APP.0,10503.000004,20,0
106,LINK,0,1,0,3.000004,M.USER.APP.0,10600,20,0
106,LINK,1,3,0,3.00002,M.USER.APP.0,10603.000004,20,0
107,LINK,0,1,0,3.000004,M.USER.APP.0,10700,20,0
107,LINK,1,3,0,3.00002,M.USER.APP.0,10703.000004,20,0
108,LINK,0,1,0,3.000004,M.USER.APP.0,10800,20,0
108,LINK,1,3,0,3.00002,M.USER.APP.0,10803.000004,20,0
109,LINK,0,1,0,3.000004,M.USER.APP.0,10900,20,0
109,LINK,1,3,0,3.00002,M.USER.APP.0,10903.000004,20,0
110,LINK,0,1,0,3.000004,M.USER.APP.0,11000,20,0
110,LINK,1,3,0,3.00002,M.USER.APP.0,11003.000004,20,0
111,LINK,0,1,0,3.000004,M.USER.APP.0,11100,20,0
111,LINK,1,3,0,3.00002,M.USER.APP.0,11103.000004,20,0
112,LINK,0,1,0,3.000004,M.USER.APP.0,11200,20,0
112,LINK,1,3,0,3.00002,M.USER.APP.0,11203.000004,20,0
113,LINK,0,1,0,3.000004,M.USER.APP.0,11300,20,0
113,LINK,1,3,0,3.00002,M.USER.APP.0,11303.000004,20,0
114,LINK,0,1,0,3.000004,M.USER.APP.0,11400,20,0
114,LINK,1,3,0,3.00002,M.USER.APP.0,11403.000004,20,0
115,LINK,0,1,0,3.000004,M.USER.APP.0,11500,20,0
115,LINK,1,3,0,3.00002,M.USER.APP.0,11503.000004,20,0
116,LINK,0,1,0,3.000004,M.USER.APP.0,11600,20,0
116,LINK,1,3,0,3.00002,M.USER.APP.0,11603.000004,20,0
117,LINK,0,1,0,3.000004,M.USER.APP.0,11700,20,0
117,LINK,1,3,0,3.00002,M.USER.APP.0,11703.000004,20,0
118,LINK,0,1,0,3.000004,M.USER.APP.0,11800,20,0
118,LINK,1,3,0,3.00002,M.USER.APP.0,11803.000004,20,0
