id,type,src,dst,app,latency,message,ctime,size,buffer

1,LINK,6,0,0,2.0000279174933335,M.USER.APP.0,100,2093812,0

2,LINK,9,0,1,5.00002300944,M.USER.APP.1,100,1725708,1

3,LINK,9,0,2,5.000034209213333,M.USER.APP.2,100,2565691,2

4,LINK,9,0,3,5.000043781413333,M.USER.APP.3,100,3283606,3

5,LINK,6,5,4,9.000027811333334,M.USER.APP.4,100,2085850,4

7,LINK,8,5,6,3.00005800588,M.USER.APP.6,100,4350441,5

8,LINK,6,0,6,2.00005800588,M.USER.APP.6,100,4350441,6

9,LINK,6,5,7,9.00005277816,M.USER.APP.7,100,3958362,7

11,LINK,8,5,9,3.00002431116,M.USER.APP.9,100,1823337,8

7,LINK,5,0,6,8.00005800588,M.USER.APP.6,103.00005800588,4350441,7

3,LINK,0,5,2,8.000034209213334,M.USER.APP.2,110.00005721865332,2565691,3

8,LINK,0,4,6,9.00002201948,6_(0-1),126.61728141979093,1651461,0

7,LINK,0,4,6,9.00002201948,6_(0-1),149.23447691620854,1651461,0

11,LINK,5,7,9,6.000052223653333,9_(0-1),167.37082095340364,3916774,0

10,LINK,6,5,8,9.000053055,8_(1-2),176.66739130434783,3979125,0

1,LINK,0,4,0,9.000059486733333,0_(1-2),179.9519214691822,4461505,1

12,LINK,6,0,0,2.0000279174933335,M.USER.APP.0,200,2093812,0

13,LINK,9,0,1,5.00002300944,M.USER.APP.1,200,1725708,1

14,LINK,9,0,2,5.000034209213333,M.USER.APP.2,200,2565691,2

15,LINK,9,0,3,5.000043781413333,M.USER.APP.3,200,3283606,3

16,LINK,6,5,4,9.000027811333334,M.USER.APP.4,200,2085850,4

18,LINK,8,5,6,3.00005800588,M.USER.APP.6,200,4350441,5

19,LINK,6,0,6,2.00005800588,M.USER.APP.6,200,4350441,6

20,LINK,6,5,7,9.00005277816,M.USER.APP.7,200,3958362,7

22,LINK,8,5,9,3.00002431116,M.USER.APP.9,200,1823337,8

18,LINK,5,0,6,8.00005800588,M.USER.APP.6,203.00005800588,4350441,7

14,LINK,0,5,2,8.000034209213334,M.USER.APP.2,210.00005721865335,2565691,3

2,LINK,0,3,1,2.000034733186667,1_(1-2),214.94270468804797,2604989,3

9,LINK,5,8,7,3.00002579744,7_(1-2),219.85235331676606,1934808,0

3,LINK,5,8,2,3.0000374148533333,2_(1-2),226.20037551877576,2806114,0

19,LINK,0,4,6,9.00002201948,6_(0-1),226.6172814197909,1651461,1

5,LINK,5,7,4,6.0000270748133335,4_(1-2),237.30826644769695,2030611,0

18,LINK,0,4,6,9.00002201948,6_(0-1),249.2344769162085,1651461,0

2,LINK,3,0,1,2.0000423067333335,1_(2-3),260.152400263989,3173005,0

22,LINK,5,7,9,6.000052223653333,9_(0-1),267.3708209534036,3916774,0

3,LINK,8,7,2,6.000028770266667,2_(2-3),274.16549229870844,2157770,0

21,LINK,6,5,8,9.000053055,8_(1-2),276.66739130434786,3979125,1

12,LINK,0,4,0,9.000059486733333,0_(1-2),279.9519214691822,4461505,2

5,LINK,7,8,4,6.000050450933333,4_(2-3),281.62463339179135,3783820,2

23,LINK,6,0,0,2.0000279174933335,M.USER.APP.0,300,2093812,0

24,LINK,9,0,1,5.00002300944,M.USER.APP.1,300,1725708,1

25,LINK,9,0,2,5.000034209213333,M.USER.APP.2,300,2565691,2

26,LINK,9,0,3,5.000043781413333,M.USER.APP.3,300,3283606,3

27,LINK,6,5,4,9.000027811333334,M.USER.APP.4,300,2085850,4

29,LINK,8,5,6,3.00005800588,M.USER.APP.6,300,4350441,5

30,LINK,6,0,6,2.00005800588,M.USER.APP.6,300,4350441,6

31,LINK,6,5,7,9.00005277816,M.USER.APP.7,300,3958362,7

33,LINK,8,5,9,3.00002431116,M.USER.APP.9,300,1823337,8

29,LINK,5,0,6,8.00005800588,M.USER.APP.6,303.00005800588,4350441,7

25,LINK,0,5,2,8.000034209213334,M.USER.APP.2,310.0000572186533,2565691,3

13,LINK,0,3,1,2.000034733186667,1_(1-2),314.942704688048,2604989,3

20,LINK,5,8,7,3.00002579744,7_(1-2),319.8523533167661,1934808,0

14,LINK,5,8,2,3.0000374148533333,2_(1-2),326.2003755187758,2806114,0

30,LINK,0,4,6,9.00002201948,6_(0-1),326.61728141979097,1651461,1

16,LINK,5,7,4,6.0000270748133335,4_(1-2),337.30826644769695,2030611,0

29,LINK,0,4,6,9.00002201948,6_(0-1),349.23447691620856,1651461,0

