id,type,src,dst,app,latency,message,ctime,size,buffer

1,LINK,9,6,0,9.000027299826666,M.USER.APP.0,100,2047487,0

2,LINK,4,0,0,7.000027299826667,M.USER.APP.0,100,2047487,1

3,LINK,9,6,1,9.00005739076,M.USER.APP.1,100,4304307,2

4,LINK,9,6,2,9.000021137026666,M.USER.APP.2,100,1585277,3

5,LINK,4,0,3,7.00003471064,M.USER.APP.3,100,2603298,4

6,LINK,8,2,4,8.000037543213333,M.USER.APP.4,100,2815741,5

7,LINK,4,0,5,7.000050922093333,M.USER.APP.5,100,3819157,6

8,LINK,8,6,6,8.00005192812,M.USER.APP.6,100,3894609,7

9,LINK,4,0,7,7.00004466352,M.USER.APP.7,100,3349764,8

10,LINK,4,0,8,7.000056970506667,M.USER.APP.8,100,4272788,9

11,LINK,4,0,9,7.00003266368,M.USER.APP.9,100,2449776,10

2,LINK,0,6,0,7.000027299826667,M.USER.APP.0,107.00002729982667,2047487,10

6,LINK,2,0,4,6.000037543213334,M.USER.APP.4,108.00003754321334,2815741,10

8,LINK,6,9,6,9.00005192812,M.USER.APP.6,108.00005192812,3894609,10

5,LINK,0,9,3,10.00003471064,M.USER.APP.3,114.00006201046666,2603298,8

6,LINK,0,1,4,5.000037543213334,M.USER.APP.4,114.00007508642668,2815741,8

7,LINK,0,2,5,6.000050922093333,M.USER.APP.5,121.00011293256,3819157,5

4,LINK,6,7,2,7.000021137026667,M.USER.APP.2,127.00010582761334,1585277,4

9,LINK,0,3,7,8.00004466352,M.USER.APP.7,128.00015759608,3349764,3

10,LINK,0,9,8,10.000056970506666,M.USER.APP.8,135.00021456658666,4272788,2

1,LINK,6,9,0,9.00003338872,0_(0-1),153.9053303301297,2504154,0

4,LINK,7,6,2,7.0000410288933335,2_(0-1),165.58857905309208,3077167,0

5,LINK,9,6,3,9.000050758773334,3_(0-1),168.00777917949335,3806908,1

4,LINK,6,9,2,9.000041028893333,2_(0-1),172.5886200819854,3077167,1

5,LINK,6,5,3,2.0000507587733334,3_(0-1),177.0078299382667,3806908,1

8,LINK,9,6,6,9.000052491586667,6_(0-1),181.70432920835268,3936869,0
