id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception

4,COMP_M,3,3_0,M.USER.APP.3,3,20,8,8,None,28.97661623108666,100,128.97661623108667,100.0,100.0

1,COMP_M,0,0_0,M.USER.APP.0,0,10,6,8,None,28.97799174690509,106.00010461587999,134.9780963627851,100.0,106.00010461587999

8,COMP_M,7,7_0,M.USER.APP.7,7,31,9,5,None,24.66951871657754,108.00010052266666,132.66961923924418,100.0,108.00010052266666

3,COMP_M,2,2_0,M.USER.APP.2,2,16,6,8,None,67.55708390646492,108.00012791305332,175.55721181951824,100.0,108.00012791305332

10,COMP_M,9,9_0,M.USER.APP.9,9,37,8,9,None,68.73817567567568,111.0001717274,179.7383474030757,100.0,111.0001717274

9,COMP_M,8,8_0,M.USER.APP.8,8,34,9,5,None,44.831016042780746,113.00012525266665,157.8311412954474,100.0,113.00012525266665

2,COMP_M,1,1_0,M.USER.APP.1,1,14,9,6,None,44.19402985074627,115.00007411272001,159.1941039634663,100.0,115.00007411272001

5,COMP_M,4,4_0,M.USER.APP.4,4,23,9,6,None,39.698294243070364,123.00011165488002,162.69840589795038,100.0,123.00011165488002

6,COMP_M,5,5_0,M.USER.APP.5,5,25,9,6,None,48.26545842217484,131.00013506241334,179.26559348458818,100.0,131.00013506241334

8,COMP_M,7,7_1,7_(0-1),31,32,5,1,7_0,45.235392320534224,135.66965636024418,180.9050486807784,132.66961923924418,135.66965636024418

7,COMP_M,6,6_0,M.USER.APP.6,6,27,9,6,None,36.67377398720682,139.00016171344,175.67393570064684,100.0,139.00016171344

4,COMP_M,3,3_1,3_(0-1),20,21,8,9,3_0,90.55405405405405,139.9767683310067,230.53082238506073,128.97661623108667,139.9767683310067

1,COMP_M,0,0_1,0_(0-1),10,11,8,7,0_0,44.286085825747726,141.97815162753176,186.2642374532795,134.9780963627851,141.97815162753176

9,COMP_M,8,8_1,8_(0-1),34,35,5,1,8_0,96.43071786310517,160.83118756798072,257.2619054310859,157.8311412954474,160.83118756798072

2,COMP_M,1,1_1,1_(0-1),14,15,6,2,1_0,29.462162162162162,161.19415721578628,190.65631937794845,159.1941039634663,161.19415721578628

5,COMP_M,4,4_1,4_(0-1),23,24,6,9,4_0,42.30912162162162,177.69855700027037,220.00767862189198,162.69840589795038,177.69855700027037

3,COMP_M,2,2_1,2_(0-1),16,17,8,6,2_0,57.20682302771855,181.55736626331824,238.7641892910368,175.55721181951824,181.55736626331824

7,COMP_M,6,6_1,6_(0-1),27,28,6,8,6_0,36.93259972489684,181.67402030388683,218.60662002878368,175.67393570064684,181.67402030388683

8,COMP_M,7,7_2,7_(1-2),32,33,1,2,7_1,50.777027027027025,188.9051257059784,239.68215273300544,180.9050486807784,188.9051257059784

10,COMP_M,9,9_1,9_(0-1),37,38,9,8,9_0,48.5818431911967,190.7384735359957,239.3203167271924,179.7383474030757,190.7384735359957

6,COMP_M,5,5_1,5_(0-1),25,26,6,9,5_0,40.255067567567565,194.26568983930818,234.52075740687576,179.26559348458818,194.26568983930818

1,COMP_M,0,0_2,0_(1-2),11,12,7,6,0_1,35.22601279317697,197.73851187043567,232.96452466361265,186.2642374532795,197.73851187043567

14,COMP_M,3,3_0,M.USER.APP.3,3,20,8,8,None,28.97661623108666,200,228.97661623108667,200.0,200.0

11,COMP_M,0,0_0,M.USER.APP.0,0,10,6,8,None,28.97799174690509,206.00010461588,234.9780963627851,200.0,206.00010461588

18,COMP_M,7,7_0,M.USER.APP.7,7,31,9,5,None,24.66951871657754,208.00010052266668,232.6696192392442,200.0,208.00010052266668

13,COMP_M,2,2_0,M.USER.APP.2,2,16,6,8,None,67.55708390646492,208.00012791305332,275.5572118195182,200.0,208.00012791305332

20,COMP_M,9,9_0,M.USER.APP.9,9,37,8,9,None,68.73817567567568,211.00017172739996,279.73834740307564,200.0,211.00017172739996

19,COMP_M,8,8_0,M.USER.APP.8,8,34,9,5,None,44.831016042780746,213.0001252526667,257.8311412954474,200.0,213.0001252526667

12,COMP_M,1,1_0,M.USER.APP.1,1,14,9,6,None,44.19402985074627,215.00007411271997,259.19410396346626,200.0,215.00007411271997

15,COMP_M,4,4_0,M.USER.APP.4,4,23,9,6,None,39.698294243070364,223.00011165487996,262.69840589795035,200.0,223.00011165487996

7,COMP_M,6,6_2,6_(1-2),28,29,8,1,6_1,65.39732888146912,226.60666344582367,292.0039923272928,218.60662002878368,226.60666344582367

16,COMP_M,5,5_0,M.USER.APP.5,5,25,9,6,None,48.26545842217484,231.00013506241328,279.2655934845881,200.0,231.00013506241328

18,COMP_M,7,7_1,7_(0-1),31,32,5,1,7_0,45.235392320534224,235.6696563602442,280.9050486807784,232.6696192392442,235.6696563602442

17,COMP_M,6,6_0,M.USER.APP.6,6,27,9,6,None,36.67377398720682,239.00016171343995,275.6739357006468,200.0,239.00016171343995

14,COMP_M,3,3_1,3_(0-1),20,21,8,9,3_0,90.55405405405405,239.9767683310067,330.53082238506073,228.97661623108667,239.9767683310067

11,COMP_M,0,0_1,0_(0-1),10,11,8,7,0_0,44.286085825747726,241.97815162753176,286.26423745327946,234.9780963627851,241.97815162753176

1,COMP_M,0,0_3,0_(2-3),12,13,6,1,0_2,57.52754590984975,242.96461997309268,300.49216588294246,232.96452466361265,242.96461997309268

10,COMP_M,9,9_2,9_(1-2),38,39,8,6,9_1,47.40938166311301,245.32047276143243,292.72985442454547,239.3203167271924,245.32047276143243

4,COMP_M,3,3_2,3_(1-2),21,22,9,6,3_1,23.955223880597014,247.00020568053327,270.9554295611303,230.53082238506073,247.00020568053327

3,COMP_M,2,2_2,2_(1-2),17,18,6,9,2_1,78.02702702702703,253.7642877756768,331.7913148027038,238.7641892910368,253.7642877756768

