id,type,src,dst,app,latency,message,ctime,size,buffer

2,LINK,8,7,1,5.0000214258,M.USER.APP.1,100,1606935,0

4,LINK,1,0,3,3.00003814448,M.USER.APP.3,100,2860836,1

5,LINK,8,0,4,2.0000306258666667,M.USER.APP.4,100,2296940,2

6,LINK,1,0,5,3.0000513783466665,M.USER.APP.5,100,3853376,3

7,LINK,8,0,6,2.0000575801733333,M.USER.APP.6,100,4318513,4

9,LINK,4,0,8,7.000028149213334,M.USER.APP.8,100,2111191,5

5,LINK,0,1,4,3.0000306258666667,M.USER.APP.4,102.00003062586667,2296940,5

7,LINK,0,4,6,7.000057580173333,M.USER.APP.6,104.00008820604,4318513,4

6,LINK,0,4,5,7.000051378346667,M.USER.APP.5,106.00008952282667,3853376,2

9,LINK,0,1,8,3.000028149213333,M.USER.APP.8,107.00002814921334,2111191,2

5,LINK,1,0,4,3.0000563646666665,4_(0-1),178.30206125173333,4227350,0

5,LINK,0,7,4,6.0000563646666665,4_(0-1),181.3021176164,4227350,0

8,LINK,1,0,7,3.00005853224,7_(0-1),186.73000000000002,4389918,1

8,LINK,0,7,7,6.00005853224,7_(0-1),189.73005853224,4389918,0

12,LINK,8,7,1,5.0000214258,M.USER.APP.1,200,1606935,0

14,LINK,1,0,3,3.00003814448,M.USER.APP.3,200,2860836,1

15,LINK,8,0,4,2.0000306258666667,M.USER.APP.4,200,2296940,2

16,LINK,1,0,5,3.0000513783466665,M.USER.APP.5,200,3853376,3

17,LINK,8,0,6,2.0000575801733333,M.USER.APP.6,200,4318513,4

19,LINK,4,0,8,7.000028149213334,M.USER.APP.8,200,2111191,5

15,LINK,0,1,4,3.0000306258666667,M.USER.APP.4,202.00003062586666,2296940,5

17,LINK,0,4,6,7.000057580173333,M.USER.APP.6,204.00008820604,4318513,4

16,LINK,0,4,5,7.000051378346667,M.USER.APP.5,206.00008952282664,3853376,2

19,LINK,0,1,8,3.000028149213333,M.USER.APP.8,207.00002814921334,2111191,2

6,LINK,4,2,5,10.000037562533333,5_(2-3),218.16958491966207,2817190,0

4,LINK,0,8,3,2.00004099532,3_(2-3),240.2155993689698,3074649,0

3,LINK,8,7,2,5.000038628,2_(2-3),248.72235576923077,2897100,0

15,LINK,1,0,4,3.0000563646666665,4_(0-1),278.30206125173333,4227350,0

15,LINK,0,7,4,6.0000563646666665,4_(0-1),281.3021176164,4227350,0

18,LINK,1,0,7,3.00005853224,7_(0-1),286.73,4389918,1

18,LINK,0,7,7,6.00005853224,7_(0-1),289.73005853224004,4389918,0

22,LINK,8,7,1,5.0000214258,M.USER.APP.1,300,1606935,0

24,LINK,1,0,3,3.00003814448,M.USER.APP.3,300,2860836,1

25,LINK,8,0,4,2.0000306258666667,M.USER.APP.4,300,2296940,2

26,LINK,1,0,5,3.0000513783466665,M.USER.APP.5,300,3853376,3

27,LINK,8,0,6,2.0000575801733333,M.USER.APP.6,300,4318513,4

29,LINK,4,0,8,7.000028149213334,M.USER.APP.8,300,2111191,5

25,LINK,0,1,4,3.0000306258666667,M.USER.APP.4,302.00003062586666,2296940,5

27,LINK,0,4,6,7.000057580173333,M.USER.APP.6,304.00008820604,4318513,4

26,LINK,0,4,5,7.000051378346667,M.USER.APP.5,306.00008952282667,3853376,2

29,LINK,0,1,8,3.000028149213333,M.USER.APP.8,307.00002814921334,2111191,2

16,LINK,4,2,5,10.000037562533333,5_(2-3),318.16958491966204,2817190,0

14,LINK,0,8,3,2.00004099532,3_(2-3),340.2155993689698,3074649,0

13,LINK,8,7,2,5.000038628,2_(2-3),348.7223557692308,2897100,0

25,LINK,1,0,4,3.0000563646666665,4_(0-1),378.30206125173333,4227350,0

25,LINK,0,7,4,6.0000563646666665,4_(0-1),381.3021176164,4227350,0

28,LINK,1,0,7,3.00005853224,7_(0-1),386.73,4389918,1

28,LINK,0,7,7,6.00005853224,7_(0-1),389.73005853224004,4389918,0

32,LINK,8,7,1,5.0000214258,M.USER.APP.1,400,1606935,0

34,LINK,1,0,3,3.00003814448,M.USER.APP.3,400,2860836,1

35,LINK,8,0,4,2.0000306258666667,M.USER.APP.4,400,2296940,2

36,LINK,1,0,5,3.0000513783466665,M.USER.APP.5,400,3853376,3

37,LINK,8,0,6,2.0000575801733333,M.USER.APP.6,400,4318513,4

39,LINK,4,0,8,7.000028149213334,M.USER.APP.8,400,2111191,5

35,LINK,0,1,4,3.0000306258666667,M.USER.APP.4,402.00003062586666,2296940,5

37,LINK,0,4,6,7.000057580173333,M.USER.APP.6,404.00008820604,4318513,4

36,LINK,0,4,5,7.000051378346667,M.USER.APP.5,406.00008952282667,3853376,2

39,LINK,0,1,8,3.000028149213333,M.USER.APP.8,407.00002814921334,2111191,2

26,LINK,4,2,5,10.000037562533333,5_(2-3),418.16958491966204,2817190,0

24,LINK,0,8,3,2.00004099532,3_(2-3),440.2155993689698,3074649,0

23,LINK,8,7,2,5.000038628,2_(2-3),448.7223557692308,2897100,0

35,LINK,1,0,4,3.0000563646666665,4_(0-1),478.30206125173333,4227350,0

35,LINK,0,7,4,6.0000563646666665,4_(0-1),481.3021176164,4227350,0

38,LINK,1,0,7,3.00005853224,7_(0-1),486.73,4389918,1

38,LINK,0,7,7,6.00005853224,7_(0-1),489.73005853224004,4389918,0

42,LINK,8,7,1,5.0000214258,M.USER.APP.1,500,1606935,0

44,LINK,1,0,3,3.00003814448,M.USER.APP.3,500,2860836,1

45,LINK,8,0,4,2.0000306258666667,M.USER.APP.4,500,2296940,2

46,LINK,1,0,5,3.0000513783466665,M.USER.APP.5,500,3853376,3

47,LINK,8,0,6,2.0000575801733333,M.USER.APP.6,500,4318513,4
