id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,1,1_0,M.USER.APP.1,1,14,9,9,None,94.175,100,194.175,100.0,100.0
6,COMP_M,5,5_0,M.USER.APP.5,5,28,6,9,None,61.49333333333333,107.00007271295999,168.49340604629333,100.0,107.00007271295999
1,COMP_M,0,0_0,M.USER.APP.0,0,11,6,8,None,41.371428571428574,112.00005583498665,153.37148440641522,100.0,112.00005583498665
8,COMP_M,6,6_0,M.USER.APP.6,7,31,6,9,None,36.82833333333333,112.00013071883998,148.82846405217333,100.0,112.00013071883998
11,COMP_M,9,9_0,M.USER.APP.9,10,40,8,6,None,46.96195652173913,115.00010662820002,161.96206314993915,100.0,115.00010662820002
3,COMP_M,2,2_0,M.USER.APP.2,2,18,9,8,None,73.16190476190476,116.00010262764002,189.16200738954478,100.0,116.00010262764002
9,COMP_M,7,7_0,M.USER.APP.7,8,34,6,9,None,59.08,117.00018349699998,176.08018349699998,100.0,117.00018349699998
5,COMP_M,4,4_0,M.USER.APP.4,4,24,6,5,None,81.30255681818181,118.00005572882665,199.30261254700847,100.0,118.00005572882665
4,COMP_M,3,3_0,M.USER.APP.3,3,22,9,5,None,63.07528409090909,121.00011219984002,184.0753962907491,100.0,121.00011219984002
10,COMP_M,8,8_0,M.USER.APP.8,9,37,6,8,None,74.32857142857142,130.0001616956,204.32873312417144,100.0,130.0001616956
7,COMP_M,6,6_0,M.USER.APP.6,6,31,8,9,None,36.82833333333333,148.82846405217333,185.65679738550665,100.0,122.00024150287999
8,COMP_M,6,6_1,6_(0-1),31,32,9,6,6_0,59.096739130434784,155.82850809113336,214.92524722156816,148.82846405217333,155.82850809113336
1,COMP_M,0,0_1,0_(0-1),11,12,8,5,0_0,71.15767045454545,156.37151837354855,227.529188828094,153.37148440641522,156.37151837354855
11,COMP_M,9,9_1,9_(0-1),40,41,6,4,9_0,53.14195583596214,172.96216759724584,226.10412343320797,161.96206314993915,172.96216759724584
6,COMP_M,5,5_1,5_(0-1),28,29,9,6,5_0,57.802173913043475,175.49344861319997,233.29562252624345,168.49340604629333,175.49344861319997
9,COMP_M,7,7_1,7_(0-1),34,35,9,6,7_0,39.40869565217391,183.08025833318666,222.48895398536058,176.08018349699998,183.08025833318666
3,COMP_M,2,2_1,2_(0-1),18,19,8,8,2_0,47.74761904761905,189.16200738954478,236.90962643716384,189.16200738954478,189.16200738954478
