id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,6,5,0,9.000027917493334,M.USER.APP.0,100,2093812,0
3,LINK,9,0,2,5.000034209213333,M.USER.APP.2,100,2565691,1
4,LINK,9,0,3,5.000043781413333,M.USER.APP.3,100,3283606,2
5,LINK,6,5,4,9.000027811333334,M.USER.APP.4,100,2085850,3
6,LINK,6,0,5,2.00003635648,M.USER.APP.5,100,2726736,4
7,LINK,8,5,6,3.00005800588,M.USER.APP.6,100,4350441,5
8,LINK,6,0,6,2.00005800588,M.USER.APP.6,100,4350441,6
9,LINK,6,0,7,2.00005277816,M.USER.APP.7,100,3958362,7
10,LINK,6,5,8,9.000052983386666,M.USER.APP.8,100,3973754,8
11,LINK,8,5,9,3.00002431116,M.USER.APP.9,100,1823337,9
6,LINK,0,9,5,5.00003635648,M.USER.APP.5,102.00003635648,2726736,9
7,LINK,5,0,6,8.00005800588,M.USER.APP.6,103.00005800588,4350441,9
8,LINK,0,9,6,5.00005800588,M.USER.APP.6,104.00009436235999,4350441,9
3,LINK,0,5,2,8.000034209213334,M.USER.APP.2,105.00003420921334,2565691,9
11,LINK,5,6,9,9.00002431116,M.USER.APP.9,106.00008231704001,1823337,9
9,LINK,0,9,7,5.00005277816,M.USER.APP.7,106.00014714052,3958362,9
1,LINK,5,8,0,3.0000279174933335,M.USER.APP.0,109.00002791749333,2093812,8
4,LINK,0,5,3,8.000043781413334,M.USER.APP.3,110.00007799062666,3283606,8
7,LINK,0,9,6,5.00005800588,M.USER.APP.6,111.00011601176001,4350441,8
3,LINK,5,8,2,3.000034209213333,M.USER.APP.2,113.00006841842668,2565691,6
10,LINK,5,8,8,3.0000529833866665,M.USER.APP.8,127.00010871221333,3973754,0
8,LINK,9,0,6,5.00002201948,6_(0-1),148.82846405217333,1651461,0
1,LINK,8,5,0,3.000033967133333,0_(0-1),153.37148440641522,2547535,1
8,LINK,0,6,6,2.00002201948,6_(0-1),153.82848607165334,1651461,1
11,LINK,6,0,9,2.0000522236533333,9_(0-1),161.96206314993915,3916774,0
11,LINK,0,4,9,9.000052223653332,9_(0-1),163.9621153735925,3916774,0
6,LINK,9,0,5,5.000021283453333,5_(0-1),168.49340604629333,1596259,1
6,LINK,0,6,5,2.0000212834533335,5_(0-1),173.49342732974665,1596259,0
9,LINK,9,0,7,5.000037418093333,7_(0-1),176.08018349699998,2806357,0
9,LINK,0,6,7,2.000037418093333,7_(0-1),181.08022091509332,2806357,0
4,LINK,5,7,3,6.000021585933333,3_(0-1),184.0753962907491,1618945,0
7,LINK,9,0,6,5.00002201948,6_(0-1),185.65679738550665,1651461,1
7,LINK,0,6,6,2.00002201948,6_(0-1),190.65681940498666,1651461,0
5,LINK,5,7,4,6.000047544706667,4_(0-1),199.30261254700847,3565853,0
12,LINK,6,5,0,9.000027917493334,M.USER.APP.0,200,2093812,1
14,LINK,9,0,2,5.000034209213333,M.USER.APP.2,200,2565691,2
15,LINK,9,0,3,5.000043781413333,M.USER.APP.3,200,3283606,3
16,LINK,6,5,4,9.000027811333334,M.USER.APP.4,200,2085850,4
17,LINK,6,0,5,2.00003635648,M.USER.APP.5,200,2726736,5
18,LINK,8,5,6,3.00005800588,M.USER.APP.6,200,4350441,6
19,LINK,6,0,6,2.00005800588,M.USER.APP.6,200,4350441,7
20,LINK,6,0,7,2.00005277816,M.USER.APP.7,200,3958362,8
21,LINK,6,5,8,9.000052983386666,M.USER.APP.8,200,3973754,9
22,LINK,8,5,9,3.00002431116,M.USER.APP.9,200,1823337,10
17,LINK,0,9,5,5.00003635648,M.USER.APP.5,202.00003635648,2726736,10
18,LINK,5,0,6,8.00005800588,M.USER.APP.6,203.00005800588,4350441,10
19,LINK,0,9,6,5.00005800588,M.USER.APP.6,204.00009436236,4350441,10
10,LINK,8,5,8,3.0000577386666665,8_(0-1),204.32873312417144,4330400,11
14,LINK,0,5,2,8.000034209213334,M.USER.APP.2,205.00003420921334,2565691,11
22,LINK,5,6,9,9.00002431116,M.USER.APP.9,206.00008231703998,1823337,10
20,LINK,0,9,7,5.00005277816,M.USER.APP.7,206.00014714052,3958362,10
12,LINK,5,8,0,3.0000279174933335,M.USER.APP.0,209.00002791749333,2093812,9
10,LINK,5,4,8,5.0000577386666665,8_(0-1),209.00014005570665,4330400,9
15,LINK,0,5,3,8.000043781413334,M.USER.APP.3,210.00007799062666,3283606,9
18,LINK,0,9,6,5.00005800588,M.USER.APP.6,211.00011601175999,4350441,9
14,LINK,5,8,2,3.000034209213333,M.USER.APP.2,213.00006841842668,2565691,7
8,LINK,6,0,6,2.0000403402,6_(1-2),214.92524722156816,3025515,7
8,LINK,0,3,6,2.0000403402,6_(1-2),216.92528756176816,3025515,5
8,LINK,3,7,6,5.0000403402,6_(1-2),218.92532790196816,3025515,3
9,LINK,6,5,7,9.00002579744,7_(1-2),222.48895398536058,1934808,2
21,LINK,5,8,8,3.0000529833866665,M.USER.APP.8,227.00010871221332,3973754,1
1,LINK,5,0,0,8.000059486733333,0_(1-2),227.529188828094,4461505,2
6,LINK,6,5,5,9.000042629693333,5_(1-2),233.29562252624345,3197227,2
1,LINK,0,3,0,2.0000594867333334,0_(1-2),235.52924831482733,4461505,2
9,LINK,5,8,7,3.00002579744,7_(1-2),236.00013450965332,1934808,2
6,LINK,5,8,5,3.000042629693333,5_(1-2),245.00017713934665,3197227,0
5,LINK,7,3,4,5.0000270748133335,4_(1-2),248.5601764315844,2030611,0
19,LINK,9,0,6,5.00002201948,6_(0-1),248.82846405217333,1651461,1
10,LINK,4,5,8,5.000053055,8_(1-2),251.39294227386858,3979125,2
12,LINK,8,5,0,3.000033967133333,0_(0-1),253.37148440641522,2547535,3
19,LINK,0,6,6,2.00002201948,6_(0-1),253.82848607165334,1651461,2
10,LINK,5,7,8,6.000053055,8_(1-2),256.3929953288686,3979125,0
22,LINK,6,0,9,2.0000522236533333,9_(0-1),261.9620631499391,3916774,1
22,LINK,0,4,9,9.000052223653332,9_(0-1),263.96211537359244,3916774,0
17,LINK,9,0,5,5.000021283453333,5_(0-1),268.49340604629333,1596259,1
17,LINK,0,6,5,2.0000212834533335,5_(0-1),273.4934273297467,1596259,0
7,LINK,6,0,6,2.0000403402,6_(1-2),274.02198635200295,3025515,1
7,LINK,0,3,6,2.0000403402,6_(1-2),276.0220266922029,3025515,0
20,LINK,9,0,7,5.000037418093333,7_(0-1),276.080183497,2806357,1
7,LINK,3,7,6,5.0000403402,6_(1-2),278.0220670324029,3025515,1
2,LINK,9,0,1,5.000034733186666,1_(1-2),279.0233333333333,2604989,2
20,LINK,0,6,7,2.000037418093333,7_(0-1),281.0802209150933,2806357,2
3,LINK,8,5,2,3.000028770266667,2_(2-3),281.87470580224317,2157770,3
5,LINK,3,0,4,2.0000504509333332,4_(2-3),283.6855889123587,3783820,2
15,LINK,5,7,3,6.000021585933333,3_(0-1),284.0753962907491,1618945,3
3,LINK,5,6,2,9.000028770266667,2_(2-3),284.87473457250985,2157770,3
18,LINK,9,0,6,5.00002201948,6_(0-1),285.65679738550665,1651461,4
5,LINK,0,4,4,9.000050450933333,4_(2-3),285.685639363292,3783820,4
2,LINK,0,5,1,8.000034733186666,1_(1-2),286.08025564828,2604989,4
18,LINK,0,6,6,2.00002201948,6_(0-1),291.08027766776,1651461,3
2,LINK,5,8,1,3.000034733186667,1_(1-2),294.0802903814667,2604989,1
16,LINK,5,7,4,6.000047544706667,4_(0-1),299.3026125470085,3565853,0
23,LINK,6,5,0,9.000027917493334,M.USER.APP.0,300,2093812,1
25,LINK,9,0,2,5.000034209213333,M.USER.APP.2,300,2565691,2
26,LINK,9,0,3,5.000043781413333,M.USER.APP.3,300,3283606,3
27,LINK,6,5,4,9.000027811333334,M.USER.APP.4,300,2085850,4
28,LINK,6,0,5,2.00003635648,M.USER.APP.5,300,2726736,5
29,LINK,8,5,6,3.00005800588,M.USER.APP.6,300,4350441,6
30,LINK,6,0,6,2.00005800588,M.USER.APP.6,300,4350441,7
31,LINK,6,0,7,2.00005277816,M.USER.APP.7,300,3958362,8
32,LINK,6,5,8,9.000052983386666,M.USER.APP.8,300,3973754,9
33,LINK,8,5,9,3.00002431116,M.USER.APP.9,300,1823337,10
28,LINK,0,9,5,5.00003635648,M.USER.APP.5,302.00003635648,2726736,10
29,LINK,5,0,6,8.00005800588,M.USER.APP.6,303.00005800588,4350441,10
30,LINK,0,9,6,5.00005800588,M.USER.APP.6,304.00009436236,4350441,10
21,LINK,8,5,8,3.0000577386666665,8_(0-1),304.32873312417144,4330400,11
25,LINK,0,5,2,8.000034209213334,M.USER.APP.2,305.0000342092133,2565691,11
33,LINK,5,6,9,9.00002431116,M.USER.APP.9,306.00008231704004,1823337,10
31,LINK,0,9,7,5.00005277816,M.USER.APP.7,306.00014714052,3958362,10
23,LINK,5,8,0,3.0000279174933335,M.USER.APP.0,309.00002791749336,2093812,9
21,LINK,5,4,8,5.0000577386666665,8_(0-1),309.0001400557067,4330400,9
26,LINK,0,5,3,8.000043781413334,M.USER.APP.3,310.00007799062666,3283606,9
29,LINK,0,9,6,5.00005800588,M.USER.APP.6,311.00011601176004,4350441,9
25,LINK,5,8,2,3.000034209213333,M.USER.APP.2,313.0000684184266,2565691,7
20,LINK,6,5,7,9.00002579744,7_(1-2),322.4889539853605,1934808,1
32,LINK,5,8,8,3.0000529833866665,M.USER.APP.8,327.0001087122133,3973754,1
12,LINK,5,0,0,8.000059486733333,0_(1-2),327.529188828094,4461505,2
19,LINK,6,0,6,2.0000403402,6_(1-2),333.11872548243775,3025515,2
17,LINK,6,5,5,9.000042629693333,5_(1-2),333.2956225262435,3197227,3
19,LINK,0,3,6,2.0000403402,6_(1-2),335.1187658226377,3025515,3
12,LINK,0,3,0,2.0000594867333334,0_(1-2),335.5292483148273,4461505,3
20,LINK,5,8,7,3.00002579744,7_(1-2),336.0001345096533,1934808,3
19,LINK,3,7,6,5.0000403402,6_(1-2),337.1188061628377,3025515,3
17,LINK,5,8,5,3.000042629693333,5_(1-2),345.00017713934665,3197227,0
16,LINK,7,3,4,5.0000270748133335,4_(1-2),348.5601764315844,2030611,0
30,LINK,9,0,6,5.00002201948,6_(0-1),348.82846405217333,1651461,1
21,LINK,4,5,8,5.000053055,8_(1-2),351.39294227386864,3979125,2
23,LINK,8,5,0,3.000033967133333,0_(0-1),353.3714844064153,2547535,3
30,LINK,0,6,6,2.00002201948,6_(0-1),353.82848607165334,1651461,2
21,LINK,5,7,8,6.000053055,8_(1-2),356.39299532886866,3979125,0
33,LINK,6,0,9,2.0000522236533333,9_(0-1),361.9620631499392,3916774,1
2,LINK,8,5,1,3.0000423067333335,1_(2-3),363.815245749574,3173005,1
33,LINK,0,4,9,9.000052223653332,9_(0-1),363.9621153735925,3916774,1
2,LINK,5,0,1,8.000042306733333,1_(2-3),366.81528805630734,3173005,1
28,LINK,9,0,5,5.000021283453333,5_(0-1),368.49340604629333,1596259,2
28,LINK,0,6,5,2.0000212834533335,5_(0-1),373.4934273297467,1596259,1
2,LINK,0,9,1,5.0000423067333335,1_(2-3),374.8153303630407,3173005,1
31,LINK,9,0,7,5.000037418093333,7_(0-1),376.080183497,2806357,1
13,LINK,9,0,1,5.000034733186666,1_(1-2),379.0233333333333,2604989,2
31,LINK,0,6,7,2.000037418093333,7_(0-1),381.0802209150933,2806357,1
14,LINK,8,5,2,3.000028770266667,2_(2-3),381.87470580224317,2157770,2
16,LINK,3,0,4,2.0000504509333332,4_(2-3),383.6855889123587,3783820,2
26,LINK,5,7,3,6.000021585933333,3_(0-1),384.07539629074904,1618945,3
14,LINK,5,6,2,9.000028770266667,2_(2-3),384.87473457250985,2157770,3
29,LINK,9,0,6,5.00002201948,6_(0-1),385.65679738550665,1651461,4
16,LINK,0,4,4,9.000050450933333,4_(2-3),385.685639363292,3783820,4
13,LINK,0,5,1,8.000034733186666,1_(1-2),386.08025564828,2604989,4
29,LINK,0,6,6,2.00002201948,6_(0-1),391.08027766776,1651461,3
