id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,100,130.0,100.0,100.0
1,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,131.00002,161.00002,130.0,131.00002
1,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,163.02002,193.02002,161.00002,163.02002
1,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,194.02004,224.02004,193.02002,194.02004
2,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,200,230.0,200.0,200.0
1,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,225.02006,255.02006,224.02004,225.02006
2,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,231.00002,261.00002,230.0,231.00002
2,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,263.02002,293.02002,261.00002,263.02002
2,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,294.02004,324.02004,293.02002,294.02004
3,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,300,330.0,300.0,300.0
2,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,325.02006,355.02006,324.02004,325.02006
3,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,331.00002,361.00002,330.0,331.00002
3,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,363.02002,393.02002,361.00002,363.02002
3,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,394.02004,424.02004,393.02002,394.02004
4,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,400,430.0,400.0,400.0
3,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,425.02006,455.02006,424.02004,425.02006
4,COMP_M,0,0_1,MESSAGE1,1,2,0,1,0_0,30.0,431.00002,461.00002,430.0,431.00002
4,COMP_M,0,0_2,MESSAGE2,2,3,1,2,0_1,30.0,463.02002,493.02002,461.00002,463.02002
4,COMP_M,0,0_3,MESSAGE3,3,4,2,3,0_2,30.0,494.02004,524.02004,493.02002,494.02004
5,COMP_M,0,0_0,M.USER.APP.0,0,1,0,0,None,30.0,500,530.0,500.0,500.0
4,COMP_M,0,0_4,MESSAGE4,4,5,3,4,0_3,30.0,525.02006,555.02006,524.02004,525.02006
